,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-17,3744,3780,3733,3771,583700,3771.0
1,2023-11-16,3704,3761,3675,3721,495500,3721.0
2,2023-11-15,3718,3735,3689,3715,451800,3715.0
3,2023-11-14,3672,3675,3616,3648,441800,3648.0
4,2023-11-13,3670,3683,3610,3628,498000,3628.0
5,2023-11-10,3588,3622,3572,3614,418100,3614.0
6,2023-11-09,3590,3617,3530,3610,547600,3610.0
7,2023-11-08,3671,3681,3535,3544,645200,3544.0
8,2023-11-07,3684,3701,3605,3618,746600,3618.0
9,2023-11-06,3624,3690,3609,3667,840600,3667.0
10,2023-11-02,3645,3665,3558,3558,953200,3558.0
11,2023-11-01,3575,3602,3537,3575,1338100,3575.0
12,2023-10-31,3430,3517,3405,3505,1390900,3505.0
13,2023-10-30,3427,3455,3371,3403,2927900,3403.0
14,2023-10-27,3440,3500,3418,3482,2087500,3482.0
15,2023-10-26,3672,3685,3581,3630,997500,3630.0
16,2023-10-25,3670,3733,3653,3705,860600,3705.0
17,2023-10-24,3637,3669,3565,3650,892600,3650.0
18,2023-10-23,3675,3723,3674,3689,537900,3689.0
19,2023-10-20,3655,3730,3608,3687,387700,3687.0
20,2023-10-19,3663,3705,3654,3677,700900,3677.0
21,2023-10-18,3725,3769,3681,3711,754900,3711.0
22,2023-10-17,3722,3757,3710,3728,456600,3728.0
23,2023-10-16,3774,3778,3685,3706,448400,3706.0
24,2023-10-13,3800,3842,3777,3803,537800,3803.0
