,Unnamed: 0,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,Unnamed: 0_x,Unnamed: 0_y
0,,2023-08-25,3519.0,3567.0,3508.0,3554.0,405100.0,3554.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,
1,,2023-08-24,3528.0,3556.0,3505.0,3552.0,331900.0,3552.0,0.0,0.0,0.0,0.05,1,16300.0,13300.0,1.0,
2,0.0,2023-08-23,3514.0,3562.0,3506.0,3558.0,369800.0,3558.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,
3,1.0,2023-08-22,3517.0,3525.0,3481.0,3525.0,426300.0,3525.0,0.0,0.0,0.0,0.05,1,16300.0,10200.0,,
4,2.0,2023-08-21,3495.0,3543.0,3484.0,3517.0,472200.0,3517.0,0.0,0.0,0.0,0.05,1,17200.0,11600.0,,
5,3.0,2023-08-18,3500.0,3513.0,3469.0,3482.0,364100.0,3482.0,82500.0,53300.0,0.65,0.0,1,16100.0,11700.0,,
6,4.0,2023-08-17,3500.0,3520.0,3471.0,3512.0,403500.0,3512.0,0.0,0.0,0.0,0.05,1,18500.0,11100.0,,
7,5.0,2023-08-16,3470.0,3505.0,3446.0,3492.0,392100.0,3492.0,0.0,0.0,0.0,0.0,3,18400.0,11100.0,,
8,6.0,2023-08-15,3516.0,3529.0,3502.0,3513.0,483300.0,3513.0,0.0,0.0,0.0,0.0,1,17700.0,8900.0,,
9,7.0,2023-08-14,3561.0,3592.0,3507.0,3539.0,427700.0,3539.0,0.0,0.0,0.0,0.05,1,19200.0,6600.0,,
10,8.0,2023-08-10,3503.0,3575.0,3499.0,3575.0,404600.0,3575.0,97300.0,62800.0,0.65,0.0,1,20600.0,14400.0,,
11,9.0,2023-08-09,3495.0,3514.0,3461.0,3510.0,264300.0,3510.0,0.0,0.0,0.0,0.0,1,18800.0,17200.0,,
12,10.0,2023-08-08,3482.0,3514.0,3481.0,3505.0,303500.0,3505.0,0.0,0.0,0.0,0.0,4,19000.0,16400.0,,
13,11.0,2023-08-07,3410.0,3471.0,3400.0,3468.0,391700.0,3468.0,0.0,0.0,0.0,0.0,1,18100.0,17900.0,,
14,12.0,2023-08-04,3435.0,3440.0,3399.0,3406.0,360100.0,3406.0,89900.0,74900.0,0.83,0.0,-,15000.0,15000.0,,
15,13.0,2023-08-03,3467.0,3482.0,3425.0,3448.0,526300.0,3448.0,0.0,0.0,0.0,0.0,1,14800.0,14200.0,,
16,14.0,2023-08-02,3550.0,3558.0,3471.0,3475.0,642600.0,3475.0,0.0,0.0,0.0,0.0,-,12300.0,12400.0,,
17,15.0,2023-08-01,3531.0,3549.0,3515.0,3539.0,607800.0,3539.0,0.0,0.0,0.0,0.0,1,15100.0,11900.0,,
18,16.0,2023-07-31,3485.0,3533.0,3467.0,3523.0,908100.0,3523.0,0.0,0.0,0.0,0.0,1,16500.0,12000.0,,
19,17.0,2023-07-28,3462.0,3485.0,3360.0,3421.0,1344100.0,3421.0,114700.0,92800.0,0.81,0.0,-,10300.0,10400.0,,
20,18.0,2023-07-27,3493.0,3526.0,3460.0,3522.0,570200.0,3522.0,0.0,0.0,0.0,0.05,1,28000.0,22300.0,,
21,19.0,2023-07-26,3453.0,3484.0,3421.0,3481.0,380300.0,3481.0,0.0,0.0,0.0,0.15,3,25100.0,16300.0,,
22,20.0,2023-07-25,3445.0,3462.0,3432.0,3461.0,306400.0,3461.0,0.0,0.0,0.0,0.05,1,23300.0,15700.0,,
23,21.0,2023-07-24,3450.0,3495.0,3442.0,3451.0,550500.0,3451.0,0.0,0.0,0.0,0.05,1,19500.0,15300.0,,
24,22.0,2023-07-21,3422.0,3432.0,3384.0,3414.0,448200.0,3414.0,110300.0,63200.0,0.57,0.05,1,16600.0,10400.0,,
25,23.0,2023-07-20,3415.0,3449.0,3401.0,3437.0,410300.0,3437.0,0.0,0.0,0.0,0.05,1,16200.0,11400.0,,
26,24.0,2023-07-19,3371.0,3422.0,3357.0,3422.0,364700.0,3422.0,0.0,0.0,0.0,0.15,3,15400.0,8200.0,,
27,25.0,2023-07-18,3386.0,3430.0,3341.0,3353.0,521700.0,3353.0,0.0,0.0,0.0,0.05,1,14100.0,6600.0,,
28,26.0,2023-07-14,3403.0,3420.0,3356.0,3387.0,390900.0,3387.0,116200.0,59200.0,0.51,0.1,1,20300.0,3400.0,,
29,27.0,2023-07-13,3406.0,3410.0,3365.0,3397.0,429500.0,3397.0,0.0,0.0,0.0,0.05,1,16900.0,2600.0,,
30,28.0,2023-07-12,3481.0,3481.0,3421.0,3421.0,365300.0,3421.0,0.0,0.0,0.0,0.4,4,18100.0,3700.0,,
31,29.0,2023-07-11,3491.0,3502.0,3454.0,3464.0,347000.0,3464.0,0.0,0.0,0.0,0.05,1,30200.0,4500.0,,
32,30.0,2023-07-10,3455.0,3497.0,3430.0,3478.0,768100.0,3478.0,0.0,0.0,0.0,0.1,1,51900.0,4600.0,,
33,31.0,2023-07-07,3450.0,3499.0,3425.0,3450.0,441600.0,3450.0,116100.0,54900.0,0.47,0.05,1,17500.0,4400.0,,
34,32.0,2023-07-06,3472.0,3529.0,3461.0,3481.0,712200.0,3481.0,0.0,0.0,0.0,0.05,1,19600.0,2800.0,,
35,33.0,2023-07-05,3390.0,3463.0,3384.0,3460.0,421100.0,3460.0,0.0,0.0,0.0,0.15,3,11700.0,4300.0,,
36,34.0,2023-07-04,3420.0,3430.0,3394.0,3407.0,504900.0,3407.0,0.0,0.0,0.0,0.0,1,11500.0,8700.0,,
37,35.0,2023-07-03,3439.0,3446.0,3418.0,3427.0,750200.0,3427.0,0.0,0.0,0.0,0.05,1,11400.0,5300.0,,
38,36.0,2023-06-30,3415.0,3430.0,3376.0,3414.0,1055100.0,3414.0,123800.0,62000.0,0.5,0.05,1,12700.0,2700.0,,
39,37.0,2023-06-29,3480.0,3507.0,3419.0,3431.0,660300.0,3431.0,0.0,0.0,0.0,0.05,1,13100.0,4400.0,,
40,38.0,2023-06-28,3450.0,3491.0,3427.0,3480.0,1033400.0,3480.0,0.0,0.0,0.0,0.15,3,17800.0,4300.0,,
41,39.0,2023-06-27,3456.0,3479.0,3392.0,3457.0,1168200.0,3457.0,0.0,0.0,0.0,0.1,1,23600.0,4800.0,,
42,40.0,2023-06-26,3555.0,3573.0,3509.0,3519.0,716500.0,3519.0,0.0,0.0,0.0,0.1,1,16300.0,4500.0,,
43,41.0,2023-06-23,3600.0,3632.0,3533.0,3559.0,897200.0,3559.0,106800.0,41800.0,0.39,0.1,1,19400.0,4700.0,,
44,42.0,2023-06-22,3530.0,3588.0,3525.0,3575.0,670200.0,3575.0,0.0,0.0,0.0,0.05,1,22500.0,6300.0,,
45,43.0,2023-06-21,3448.0,3506.0,3436.0,3501.0,543000.0,3501.0,0.0,0.0,0.0,0.15,3,22200.0,6100.0,,
46,44.0,2023-06-20,3485.0,3485.0,3448.0,3467.0,651300.0,3467.0,0.0,0.0,0.0,0.05,1,18700.0,7300.0,,
47,45.0,2023-06-19,3489.0,3512.0,3457.0,3489.0,672100.0,3489.0,0.0,0.0,0.0,0.05,1,18500.0,12700.0,,
48,46.0,2023-06-16,3483.0,3488.0,3437.0,3471.0,985500.0,3471.0,104800.0,51100.0,0.49,0.05,1,18800.0,13500.0,,
49,47.0,2023-06-15,3490.0,3536.0,3454.0,3507.0,884000.0,3507.0,0.0,0.0,0.0,0.05,1,19300.0,14200.0,,
50,48.0,2023-06-14,3493.0,3500.0,3450.0,3463.0,762200.0,3463.0,0.0,0.0,0.0,0.3,3,20200.0,6000.0,,
51,49.0,2023-06-13,3439.0,3464.0,3418.0,3423.0,546600.0,3423.0,0.0,0.0,0.0,0.05,1,15800.0,5000.0,,
52,50.0,2023-06-12,3450.0,3476.0,3434.0,3436.0,408200.0,3436.0,0.0,0.0,0.0,0.05,1,19100.0,6200.0,,
53,51.0,2023-06-09,3382.0,3441.0,3373.0,3436.0,758900.0,3436.0,109400.0,54200.0,0.5,0.05,1,18700.0,7400.0,,
54,52.0,2023-06-08,3452.0,3463.0,3373.0,3391.0,784200.0,3391.0,0.0,0.0,0.0,0.05,1,18100.0,9400.0,,
55,53.0,2023-06-07,3545.0,3556.0,3438.0,3454.0,920300.0,3454.0,0.0,0.0,0.0,0.15,3,19900.0,5600.0,,
56,54.0,2023-06-06,3464.0,3544.0,3446.0,3541.0,417500.0,3541.0,0.0,0.0,0.0,0.05,1,23000.0,5900.0,,
57,55.0,2023-06-05,3498.0,3503.0,3466.0,3499.0,601300.0,3499.0,0.0,0.0,0.0,0.1,1,26200.0,4200.0,,
58,56.0,2023-06-02,3370.0,3445.0,3350.0,3445.0,864700.0,3445.0,163500.0,42700.0,0.26,0.1,1,70000.0,2100.0,,
59,57.0,2023-06-01,3390.0,3395.0,3355.0,3380.0,652600.0,3380.0,0.0,0.0,0.0,0.1,1,70200.0,3000.0,,
60,58.0,2023-05-31,3380.0,3420.0,3370.0,3375.0,1522300.0,3375.0,0.0,0.0,0.0,0.3,3,71600.0,3900.0,,
61,59.0,2023-05-30,3390.0,3410.0,3355.0,3405.0,505400.0,3405.0,0.0,0.0,0.0,0.1,1,72300.0,3000.0,,
62,60.0,2023-05-29,3400.0,3430.0,3385.0,3410.0,356600.0,3410.0,0.0,0.0,0.0,0.1,1,75100.0,500.0,,
63,61.0,2023-05-26,3385.0,3410.0,3375.0,3385.0,526600.0,3385.0,164600.0,40500.0,0.25,0.1,1,84000.0,1300.0,,
64,62.0,2023-05-25,3405.0,3430.0,3380.0,3405.0,490600.0,3405.0,0.0,0.0,0.0,0.1,1,80400.0,1400.0,,
65,63.0,2023-05-24,3425.0,3425.0,3395.0,3400.0,415000.0,3400.0,0.0,0.0,0.0,0.3,3,80400.0,1400.0,,
66,64.0,2023-05-23,3460.0,3470.0,3400.0,3425.0,456700.0,3425.0,0.0,0.0,0.0,0.1,1,75700.0,1400.0,,
67,65.0,2023-05-22,3380.0,3455.0,3380.0,3440.0,353100.0,3440.0,0.0,0.0,0.0,0.1,1,76300.0,1500.0,,
68,66.0,2023-05-19,3390.0,3410.0,3365.0,3390.0,483400.0,3390.0,159600.0,45600.0,0.29,0.1,1,74500.0,1500.0,,
69,67.0,2023-05-18,3415.0,3420.0,3330.0,3405.0,867100.0,3405.0,0.0,0.0,0.0,0.1,1,75700.0,1400.0,,
70,68.0,2023-05-17,3380.0,3440.0,3370.0,3430.0,673600.0,3430.0,0.0,0.0,0.0,0.3,3,78900.0,1300.0,,
71,69.0,2023-05-16,3400.0,3405.0,3360.0,3385.0,630500.0,3385.0,0.0,0.0,0.0,0.1,1,75200.0,1400.0,,
72,70.0,2023-05-15,3385.0,3400.0,3355.0,3390.0,379000.0,3390.0,0.0,0.0,0.0,0.1,1,26000.0,1200.0,,
73,71.0,2023-05-12,3325.0,3375.0,3325.0,3360.0,602500.0,3360.0,113900.0,48800.0,0.43,0.05,1,21400.0,1200.0,,
74,72.0,2023-05-11,3335.0,3355.0,3315.0,3340.0,444200.0,3340.0,0.0,0.0,0.0,0.05,1,19500.0,2300.0,,
75,73.0,2023-05-10,3355.0,3360.0,3320.0,3345.0,475300.0,3345.0,0.0,0.0,0.0,0.3,3,21500.0,2300.0,,
76,74.0,2023-05-09,3350.0,3365.0,3320.0,3340.0,676300.0,3340.0,0.0,0.0,0.0,0.1,1,16600.0,3700.0,,
77,75.0,2023-05-08,3310.0,3350.0,3285.0,3325.0,802200.0,3325.0,0.0,0.0,0.0,0.1,1,17600.0,7800.0,,
78,76.0,2023-05-02,3355.0,3355.0,3265.0,3315.0,865300.0,3315.0,0.0,0.0,0.0,0.05,1,20100.0,7100.0,,
