,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-02,0.0,0,12800,13100
1,2023-09-29,0.0,0,21900,25900
2,2023-09-28,0.0,0,21300,24500
3,2023-09-27,0.0,3,29700,25600
4,2023-09-26,0.0,0,22400,26300
5,2023-09-25,0.0,0,21900,26200
6,2023-09-22,0.0,0,23300,26200
7,2023-09-21,0.0,1,27200,23000
8,2023-09-20,0.0,0,28200,26000
9,2023-09-19,0.0,0,30300,28000
10,2023-09-15,0.0,0,27800,26800
11,2023-09-14,0.0,0,23800,23500
12,2023-09-13,0.0,0,18500,20900
13,2023-09-12,0.0,0,19100,18600
14,2023-09-11,0.05,1,22700,19900
15,2023-09-08,0.05,1,38300,23000
16,2023-09-07,0.05,1,36500,19400
17,2023-09-06,0.15,3,28100,15200
18,2023-09-05,0.05,1,28300,16200
19,2023-09-04,0.05,1,30900,21200
20,2023-09-01,0.05,1,30300,17000
