,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-08-25,1322.0,1325.5,1309.5,1320.0,413600,1320.0,0,0,0.0,0,0,0,0
1,2023-08-24,1331.5,1334.0,1320.0,1324.0,404700,1324.0,0,0,0.0,0,0,13600,10500
2,2023-08-23,1327.5,1335.5,1320.5,1334.0,312000,1334.0,0,0,0.0,0,0,14400,11300
3,2023-08-22,1321.0,1331.0,1316.5,1331.0,254600,1331.0,0,0,0.0,0,0,13900,10900
4,2023-08-21,1346.5,1348.0,1320.5,1324.5,350600,1324.5,0,0,0.0,0,0,13900,11300
5,2023-08-18,1349.0,1354.5,1332.0,1341.0,339900,1341.0,169100,1484000,8.78,0,0,15400,13200
6,2023-08-17,1365.5,1369.5,1342.0,1362.0,493300,1362.0,0,0,0.0,0,0,16000,13600
7,2023-08-16,1371.0,1378.0,1368.0,1371.0,401400,1371.0,0,0,0.0,0,0,16600,14100
8,2023-08-15,1366.0,1379.0,1364.5,1374.0,530000,1374.0,0,0,0.0,0,0,18000,15000
9,2023-08-14,1384.0,1384.0,1368.5,1370.5,411700,1370.5,0,0,0.0,0,0,7300,5100
10,2023-08-10,1355.0,1387.0,1347.5,1384.0,628800,1384.0,160800,1559400,9.7,0,0,7500,3700
11,2023-08-09,1367.0,1367.0,1345.0,1357.5,379000,1357.5,0,0,0.0,0,0,5400,4800
12,2023-08-08,1356.5,1367.5,1353.5,1363.0,737800,1363.0,0,0,0.0,0,0,6300,4700
13,2023-08-07,1330.0,1355.5,1329.0,1355.0,688900,1355.0,0,0,0.0,0,0,6300,1800
14,2023-08-04,1337.5,1345.5,1327.5,1334.0,536700,1334.0,302000,1893700,6.27,0,0,6100,3400
15,2023-08-03,1360.0,1363.5,1345.5,1346.0,823500,1346.0,0,0,0.0,0,0,5900,1800
16,2023-08-02,1368.5,1379.0,1363.0,1366.5,644400,1366.5,0,0,0.0,0,0,7900,1900
17,2023-08-01,1362.0,1378.5,1357.0,1372.5,662900,1372.5,0,0,0.0,0,0,6400,2100
18,2023-07-31,1366.0,1367.0,1318.5,1349.0,1314600,1349.0,0,0,0.0,0,0,7300,23200
19,2023-07-28,1345.0,1349.0,1326.0,1340.5,790700,1340.5,489700,1950900,3.98,0,0,6000,22100
20,2023-07-27,1350.0,1359.0,1341.0,1355.0,559400,1355.0,0,0,0.0,0,0,6200,22100
21,2023-07-26,1348.0,1355.0,1334.0,1350.0,431600,1350.0,0,0,0.0,0,0,6500,22100
22,2023-07-25,1347.5,1354.5,1344.0,1350.0,805000,1350.0,0,0,0.0,0,0,5800,22400
23,2023-07-24,1345.0,1353.5,1340.5,1347.0,639100,1347.0,0,0,0.0,0,0,6000,36800
24,2023-07-21,1361.0,1361.5,1333.5,1339.0,490200,1339.0,505700,1979900,3.92,0,0,4000,26900
25,2023-07-20,1361.0,1379.5,1361.0,1366.5,754100,1366.5,0,0,0.0,0,0,5100,15400
26,2023-07-19,1366.5,1374.5,1347.5,1360.5,771900,1360.5,0,0,0.0,0,0,5400,15100
27,2023-07-18,1321.0,1338.0,1320.0,1336.5,467800,1336.5,0,0,0.0,0,0,4700,23400
28,2023-07-14,1324.0,1328.0,1312.5,1326.0,450300,1326.0,510300,1999400,3.92,0,0,4200,23100
29,2023-07-13,1311.0,1327.5,1301.5,1321.0,518200,1321.0,0,0,0.0,0,0,4700,23100
30,2023-07-12,1327.0,1327.0,1308.0,1320.5,538900,1320.5,0,0,0.0,0,0,3700,32900
31,2023-07-11,1339.0,1339.0,1314.5,1317.0,740300,1317.0,0,0,0.0,0,0,3700,71100
