,Unnamed: 0,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,Unnamed: 0_x,Unnamed: 0_y
0,,2023-08-31,6149.0,6318.0,6149.0,6304.0,2730100.0,6304.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,
1,,2023-08-30,6092.0,6158.0,6086.0,6140.0,1001400.0,6140.0,0.0,0.0,0.0,-,-,6400.0,44900.0,1.0,
2,,2023-08-29,6065.0,6128.0,6065.0,6121.0,1106000.0,6121.0,0.0,0.0,0.0,-,-,6400.0,44900.0,2.0,
3,,2023-08-28,6060.0,6073.0,5965.0,6022.0,1321900.0,6022.0,0.0,0.0,0.0,-,-,6400.0,52400.0,3.0,
4,0.0,2023-08-25,6087.0,6105.0,6056.0,6071.0,704100.0,6071.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,
5,1.0,2023-08-24,6095.0,6134.0,6086.0,6101.0,689600.0,6101.0,0.0,0.0,0.0,0.0,0,2700.0,45400.0,,
6,2.0,2023-08-23,6081.0,6163.0,6070.0,6107.0,985800.0,6107.0,0.0,0.0,0.0,0.0,0,2700.0,47100.0,,
7,3.0,2023-08-22,6078.0,6098.0,6044.0,6066.0,566200.0,6066.0,0.0,0.0,0.0,0.0,0,100.0,47500.0,,
8,4.0,2023-08-21,6075.0,6116.0,6054.0,6089.0,662200.0,6089.0,0.0,0.0,0.0,0.0,0,100.0,47000.0,,
9,5.0,2023-08-18,6073.0,6093.0,6031.0,6050.0,797300.0,6050.0,79000.0,1763600.0,22.32,0.0,0,1100.0,47200.0,,
10,6.0,2023-08-17,6145.0,6174.0,6087.0,6122.0,947500.0,6122.0,0.0,0.0,0.0,0.0,0,1100.0,47000.0,,
11,7.0,2023-08-16,6112.0,6170.0,6085.0,6145.0,1106400.0,6145.0,0.0,0.0,0.0,0.0,0,4700.0,47300.0,,
12,8.0,2023-08-15,6100.0,6158.0,6057.0,6156.0,940900.0,6156.0,0.0,0.0,0.0,0.0,0,4700.0,47200.0,,
13,9.0,2023-08-14,6164.0,6200.0,6083.0,6091.0,1289400.0,6091.0,0.0,0.0,0.0,0.0,0,1100.0,47500.0,,
14,10.0,2023-08-10,6078.0,6165.0,6056.0,6164.0,1786000.0,6164.0,134400.0,1897400.0,14.12,0.0,0,7100.0,47300.0,,
15,11.0,2023-08-09,5977.0,6091.0,5945.0,6023.0,1528400.0,6023.0,0.0,0.0,0.0,0.0,0,600.0,49400.0,,
16,12.0,2023-08-08,5894.0,5980.0,5879.0,5975.0,1451900.0,5975.0,0.0,0.0,0.0,0.0,0,100.0,50600.0,,
17,13.0,2023-08-07,5835.0,5869.0,5792.0,5860.0,675000.0,5860.0,0.0,0.0,0.0,0.0,0,100.0,51200.0,,
18,14.0,2023-08-04,5800.0,5852.0,5791.0,5837.0,924600.0,5837.0,66700.0,2277400.0,34.14,0.0,0,11800.0,55300.0,,
19,15.0,2023-08-03,5875.0,5907.0,5830.0,5835.0,1389500.0,5835.0,0.0,0.0,0.0,0.0,0,100.0,55500.0,,
20,16.0,2023-08-02,5900.0,5997.0,5888.0,5924.0,2690100.0,5924.0,0.0,0.0,0.0,0.0,0,5000.0,52100.0,,
21,17.0,2023-08-01,5858.0,5899.0,5835.0,5899.0,1260500.0,5899.0,0.0,0.0,0.0,0.0,0,0.0,53200.0,,
22,18.0,2023-07-31,5845.0,5896.0,5814.0,5843.0,1336000.0,5843.0,0.0,0.0,0.0,0.0,0,0.0,54500.0,,
23,19.0,2023-07-28,5724.0,5799.0,5703.0,5781.0,1310000.0,5781.0,53000.0,2388100.0,45.06,0.0,0,100.0,55800.0,,
24,20.0,2023-07-27,5750.0,5769.0,5723.0,5767.0,993500.0,5767.0,0.0,0.0,0.0,0.0,0,0.0,50800.0,,
25,21.0,2023-07-26,5720.0,5733.0,5666.0,5728.0,1300200.0,5728.0,0.0,0.0,0.0,0.0,0,0.0,56000.0,,
26,22.0,2023-07-25,5740.0,5744.0,5714.0,5728.0,836900.0,5728.0,0.0,0.0,0.0,0.0,0,0.0,59600.0,,
27,23.0,2023-07-24,5725.0,5756.0,5712.0,5721.0,956300.0,5721.0,0.0,0.0,0.0,0.0,0,0.0,62400.0,,
28,24.0,2023-07-21,5753.0,5757.0,5703.0,5712.0,1450700.0,5712.0,64500.0,2378400.0,36.87,0.0,0,3600.0,62000.0,,
29,25.0,2023-07-20,5775.0,5800.0,5747.0,5775.0,1124100.0,5775.0,0.0,0.0,0.0,0.0,0,3900.0,48700.0,,
30,26.0,2023-07-19,5717.0,5747.0,5683.0,5746.0,1136400.0,5746.0,0.0,0.0,0.0,0.0,0,1000.0,55900.0,,
31,27.0,2023-07-18,5719.0,5743.0,5650.0,5657.0,1339300.0,5657.0,0.0,0.0,0.0,0.0,0,200.0,53700.0,,
32,28.0,2023-07-14,5827.0,5859.0,5739.0,5739.0,1299500.0,5739.0,67400.0,2307100.0,34.23,0.0,0,0.0,52000.0,,
33,29.0,2023-07-13,5840.0,5840.0,5781.0,5827.0,1095600.0,5827.0,0.0,0.0,0.0,0.0,0,0.0,40400.0,,
34,30.0,2023-07-12,5880.0,5889.0,5835.0,5849.0,765100.0,5849.0,0.0,0.0,0.0,0.0,0,2500.0,39400.0,,
35,31.0,2023-07-11,5850.0,5875.0,5817.0,5835.0,863800.0,5835.0,0.0,0.0,0.0,0.0,0,0.0,39100.0,,
36,32.0,2023-07-10,5861.0,5863.0,5811.0,5826.0,1053200.0,5826.0,0.0,0.0,0.0,0.0,0,3000.0,38100.0,,
37,33.0,2023-07-07,5850.0,5911.0,5811.0,5843.0,1080700.0,5843.0,77700.0,2114800.0,27.22,0.0,0,5700.0,44900.0,,
38,34.0,2023-07-06,5869.0,5895.0,5812.0,5843.0,1206600.0,5843.0,0.0,0.0,0.0,0.0,0,3900.0,48900.0,,
39,35.0,2023-07-05,5930.0,5937.0,5837.0,5840.0,1813900.0,5840.0,0.0,0.0,0.0,0.0,0,200.0,46400.0,,
40,36.0,2023-07-04,5995.0,6013.0,5944.0,5944.0,1015200.0,5944.0,0.0,0.0,0.0,0.0,0,2500.0,34600.0,,
41,37.0,2023-07-03,6010.0,6034.0,5993.0,6006.0,939300.0,6006.0,0.0,0.0,0.0,0.0,0,0.0,34900.0,,
42,38.0,2023-06-30,6024.0,6045.0,5957.0,5990.0,1351400.0,5990.0,68700.0,1895600.0,27.59,0.0,0,0.0,34400.0,,
43,39.0,2023-06-29,6078.0,6127.0,6030.0,6048.0,938400.0,6048.0,0.0,0.0,0.0,0.0,0,1700.0,32900.0,,
44,40.0,2023-06-28,6016.0,6070.0,6004.0,6070.0,1046900.0,6070.0,0.0,0.0,0.0,0.0,0,0.0,32300.0,,
45,41.0,2023-06-27,6029.0,6055.0,5992.0,6028.0,870700.0,6028.0,0.0,0.0,0.0,0.0,0,1700.0,32500.0,,
46,42.0,2023-06-26,6063.0,6070.0,5940.0,5989.0,1052600.0,5989.0,0.0,0.0,0.0,0.0,0,0.0,40200.0,,
47,43.0,2023-06-23,6052.0,6115.0,6023.0,6063.0,1151200.0,6063.0,82700.0,1840400.0,22.25,0.0,0,4600.0,38400.0,,
48,44.0,2023-06-22,6054.0,6121.0,6029.0,6051.0,1065500.0,6051.0,0.0,0.0,0.0,0.0,0,5500.0,36500.0,,
49,45.0,2023-06-21,5912.0,6045.0,5912.0,6042.0,1347500.0,6042.0,0.0,0.0,0.0,0.0,0,0.0,34800.0,,
50,46.0,2023-06-20,5920.0,5935.0,5882.0,5912.0,926400.0,5912.0,0.0,0.0,0.0,0.0,0,1700.0,36600.0,,
51,47.0,2023-06-19,5987.0,5987.0,5912.0,5948.0,837600.0,5948.0,0.0,0.0,0.0,0.0,0,2500.0,36400.0,,
52,48.0,2023-06-16,5949.0,5959.0,5904.0,5953.0,1570300.0,5953.0,68600.0,1957500.0,28.53,0.0,0,0.0,35500.0,,
53,49.0,2023-06-15,6006.0,6034.0,5972.0,5972.0,1061600.0,5972.0,0.0,0.0,0.0,0.0,0,400.0,36100.0,,
