,Unnamed: 0_x,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,Unnamed: 0_y,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,_merge
0,0.0,2023-08-31,2465.0,2524.0,2463.0,2515.0,39487900.0,2515.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,left_only
1,1.0,2023-08-30,2449.5,2463.5,2440.0,2456.5,19036300.0,2456.5,0.0,0.0,0.0,0.00,-,669000.0,498700.0,,,,,,,,,,,,,,,left_only
2,2.0,2023-08-29,2446.5,2451.0,2416.5,2431.5,17541400.0,2431.5,0.0,0.0,0.0,0.00,-,696300.0,528800.0,,,,,,,,,,,,,,,left_only
3,3.0,2023-08-28,2421.5,2447.0,2420.0,2436.5,18256100.0,2436.5,0.0,0.0,0.0,0.00,-,668900.0,489100.0,,,,,,,,,,,,,,,left_only
4,4.0,2023-08-25,2380.0,2402.0,2377.0,2395.0,15384300.0,2395.0,3311100.0,10245100.0,3.09,-,-,660400.0,458000.0,0.0,2380.0,2402.0,2377.0,2395.0,15384300.0,2395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
5,5.0,2023-08-24,2411.5,2412.5,2394.0,2400.0,16406900.0,2400.0,0.0,0.0,0.0,-,-,632300.0,449500.0,1.0,2411.5,2412.5,2394.0,2400.0,16406900.0,2400.0,0.0,0.0,0.0,0.0,0.0,632300.0,449500.0,both
6,6.0,2023-08-23,2393.0,2411.0,2389.5,2410.5,15164600.0,2410.5,0.0,0.0,0.0,-,-,642500.0,500000.0,2.0,2393.0,2411.0,2389.5,2410.5,15164600.0,2410.5,0.0,0.0,0.0,0.0,0.0,642500.0,500000.0,both
7,7.0,2023-08-22,2386.0,2420.0,2383.0,2416.5,18256500.0,2416.5,0.0,0.0,0.0,0.00,-,644400.0,462700.0,3.0,2386.0,2420.0,2383.0,2416.5,18256500.0,2416.5,0.0,0.0,0.0,0.0,0.0,644400.0,462700.0,both
8,8.0,2023-08-21,2349.5,2376.0,2348.0,2356.5,14606100.0,2356.5,0.0,0.0,0.0,0.00,-,633100.0,416100.0,4.0,2349.5,2376.0,2348.0,2356.5,14606100.0,2356.5,0.0,0.0,0.0,0.0,0.0,633100.0,416100.0,both
9,9.0,2023-08-18,2348.5,2368.0,2334.5,2349.0,20054000.0,2349.0,3280100.0,10773800.0,3.28,0.00,-,689900.0,466700.0,5.0,2348.5,2368.0,2334.5,2349.0,20054000.0,2349.0,3280100.0,10773800.0,3.28,0.0,0.0,689900.0,466700.0,both
10,10.0,2023-08-17,2360.5,2379.0,2332.5,2377.0,18693200.0,2377.0,0.0,0.0,0.0,0.00,-,636700.0,411500.0,6.0,2360.5,2379.0,2332.5,2377.0,18693200.0,2377.0,0.0,0.0,0.0,0.0,0.0,636700.0,411500.0,both
11,11.0,2023-08-16,2400.0,2412.5,2368.0,2370.5,22466200.0,2370.5,0.0,0.0,0.0,0.00,-,638300.0,417600.0,7.0,2400.0,2412.5,2368.0,2370.5,22466200.0,2370.5,0.0,0.0,0.0,0.0,0.0,638300.0,417600.0,both
12,12.0,2023-08-15,2433.0,2438.0,2414.5,2419.0,12578800.0,2419.0,0.0,0.0,0.0,0.00,-,633300.0,419200.0,8.0,2433.0,2438.0,2414.5,2419.0,12578800.0,2419.0,0.0,0.0,0.0,0.0,0.0,633300.0,419200.0,both
13,13.0,2023-08-14,2439.5,2459.5,2403.0,2408.0,17152200.0,2408.0,0.0,0.0,0.0,0.00,-,644300.0,428100.0,9.0,2439.5,2459.5,2403.0,2408.0,17152200.0,2408.0,0.0,0.0,0.0,0.0,0.0,644300.0,428100.0,both
14,14.0,2023-08-10,2406.5,2432.5,2395.0,2429.0,19458600.0,2429.0,3632500.0,10337800.0,2.85,0.00,-,654200.0,426500.0,10.0,2406.5,2432.5,2395.0,2429.0,19458600.0,2429.0,3632500.0,10337800.0,2.85,0.0,0.0,654200.0,426500.0,both
15,15.0,2023-08-09,2423.0,2427.0,2384.0,2395.5,19106300.0,2395.5,0.0,0.0,0.0,-,-,654900.0,418900.0,11.0,2423.0,2427.0,2384.0,2395.5,19106300.0,2395.5,0.0,0.0,0.0,0.0,0.0,654900.0,418900.0,both
16,16.0,2023-08-08,2463.5,2476.0,2420.5,2423.5,22190700.0,2423.5,0.0,0.0,0.0,-,-,661400.0,411300.0,12.0,2463.5,2476.0,2420.5,2423.5,22190700.0,2423.5,0.0,0.0,0.0,0.0,0.0,661400.0,411300.0,both
17,17.0,2023-08-07,2431.5,2457.0,2424.0,2444.0,19853700.0,2444.0,0.0,0.0,0.0,-,-,634100.0,775600.0,13.0,2431.5,2457.0,2424.0,2444.0,19853700.0,2444.0,0.0,0.0,0.0,0.0,0.0,634100.0,775600.0,both
18,18.0,2023-08-04,2407.0,2456.5,2401.5,2437.5,30038200.0,2437.5,3980000.0,10631200.0,2.67,0.00,-,633600.0,397200.0,14.0,2407.0,2456.5,2401.5,2437.5,30038200.0,2437.5,3980000.0,10631200.0,2.67,0.0,0.0,633600.0,397200.0,both
19,19.0,2023-08-03,2476.0,2477.0,2401.0,2407.5,44187800.0,2407.5,0.0,0.0,0.0,-,-,658400.0,1663000.0,15.0,2476.0,2477.0,2401.0,2407.5,44187800.0,2407.5,0.0,0.0,0.0,0.0,3.0,699400.0,295800.0,both
20,20.0,2023-08-02,2438.5,2549.0,2418.5,2502.5,78801100.0,2502.5,0.0,0.0,0.0,0.00,3,699400.0,295800.0,16.0,2438.5,2549.0,2418.5,2502.5,78801100.0,2502.5,0.0,0.0,0.0,0.0,3.0,699400.0,295800.0,both
21,21.0,2023-08-01,2398.0,2464.0,2387.0,2445.5,68906000.0,2445.5,0.0,0.0,0.0,-,-,648100.0,1007500.0,17.0,2398.0,2464.0,2387.0,2445.5,68906000.0,2445.5,0.0,0.0,0.0,0.0,0.0,648100.0,1007500.0,both
22,22.0,2023-07-31,2350.0,2386.0,2348.5,2386.0,44133500.0,2386.0,0.0,0.0,0.0,0.00,1,715400.0,535800.0,18.0,2350.0,2386.0,2348.5,2386.0,44133500.0,2386.0,0.0,0.0,0.0,0.0,1.0,715400.0,535800.0,both
23,23.0,2023-07-28,2288.5,2327.0,2263.5,2310.0,37405600.0,2310.0,3689900.0,9537400.0,2.58,0,0,0.0,0.0,19.0,2288.5,2327.0,2263.5,2310.0,37405600.0,2310.0,3689900.0,9537400.0,2.58,0.0,0.0,688800.0,502700.0,both
24,24.0,2023-07-27,2315.0,2329.0,2303.5,2320.5,18487400.0,2320.5,0.0,0.0,0.0,0,0,0.0,0.0,20.0,2315.0,2329.0,2303.5,2320.5,18487400.0,2320.5,0.0,0.0,0.0,0.0,0.0,686600.0,510300.0,both
45,,2023-07-26,,,,,,,,,,,,,,21.0,2318.0,2326.0,2305.5,2322.0,19436200.0,2322.0,0.0,0.0,0.0,0.0,0.0,648900.0,473400.0,right_only
46,,2023-07-25,,,,,,,,,,,,,,22.0,2316.5,2344.5,2311.5,2344.5,23265300.0,2344.5,0.0,0.0,0.0,0.0,1.0,718100.0,371700.0,right_only
47,,2023-07-24,,,,,,,,,,,,,,23.0,2317.0,2333.0,2307.5,2324.0,23557600.0,2324.0,0.0,0.0,0.0,0.0,0.0,640500.0,447700.0,right_only
25,25.0,2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,3598400.0,10411500.0,2.89,0,0,0.0,0.0,24.0,2289.0,2301.0,2277.0,2287.5,20284200.0,2287.5,3598400.0,10411500.0,2.89,0.0,0.0,640100.0,429400.0,both
48,,2023-07-20,,,,,,,,,,,,,,25.0,2291.5,2311.0,2275.0,2287.0,21073000.0,2287.0,0.0,0.0,0.0,0.0,0.0,605300.0,390200.0,right_only
49,,2023-07-19,,,,,,,,,,,,,,26.0,2266.5,2291.0,2265.0,2291.0,22597800.0,2291.0,0.0,0.0,0.0,0.0,0.0,625600.0,392600.0,right_only
50,,2023-07-18,,,,,,,,,,,,,,27.0,2214.0,2247.5,2212.0,2240.0,18107200.0,2240.0,0.0,0.0,0.0,0.0,0.0,585400.0,352700.0,right_only
26,26.0,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,3335000.0,11690100.0,3.51,0,0,0.0,0.0,28.0,2219.5,2231.0,2197.0,2218.0,21578800.0,2218.0,3335000.0,11690100.0,3.51,0.0,0.0,537200.0,305500.0,both
51,,2023-07-13,,,,,,,,,,,,,,29.0,2192.5,2224.0,2180.0,2211.5,19826600.0,2211.5,0.0,0.0,0.0,0.0,0.0,526400.0,457800.0,right_only
52,,2023-07-12,,,,,,,,,,,,,,30.0,2210.0,2231.0,2189.0,2198.0,20500400.0,2198.0,0.0,0.0,0.0,0.0,0.0,530300.0,786000.0,right_only
53,,2023-07-11,,,,,,,,,,,,,,31.0,2256.0,2258.5,2204.0,2211.0,29078400.0,2211.0,0.0,0.0,0.0,0.0,0.0,668500.0,720900.0,right_only
54,,2023-07-10,,,,,,,,,,,,,,32.0,2270.0,2290.0,2255.0,2260.0,28824200.0,2260.0,0.0,0.0,0.0,0.0,0.0,660600.0,530100.0,right_only
27,27.0,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,4114200.0,11069100.0,2.69,0,0,0.0,0.0,33.0,2323.5,2324.0,2292.0,2299.5,26236300.0,2299.5,4114200.0,11069100.0,2.69,0.0,0.0,677700.0,484200.0,both
55,,2023-07-06,,,,,,,,,,,,,,34.0,2350.0,2358.0,2317.0,2327.0,28608700.0,2327.0,0.0,0.0,0.0,0.0,0.0,711100.0,520500.0,right_only
56,,2023-07-05,,,,,,,,,,,,,,35.0,2336.0,2341.5,2322.5,2341.0,20643100.0,2341.0,0.0,0.0,0.0,0.0,0.0,704900.0,517200.0,right_only
57,,2023-07-04,,,,,,,,,,,,,,36.0,2332.5,2344.5,2324.5,2338.0,26554700.0,2338.0,0.0,0.0,0.0,0.0,0.0,688500.0,489900.0,right_only
58,,2023-07-03,,,,,,,,,,,,,,37.0,2308.0,2329.5,2303.5,2325.5,25421400.0,2325.5,0.0,0.0,0.0,0.0,0.0,593700.0,353000.0,right_only
28,28.0,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,4191800.0,12019200.0,2.87,0,0,0.0,0.0,38.0,2320.0,2323.5,2285.5,2308.5,37428700.0,2308.5,4191800.0,12019200.0,2.87,0.0,0.0,639900.0,384700.0,both
59,,2023-06-29,,,,,,,,,,,,,,39.0,2302.0,2311.0,2278.5,2295.5,27070800.0,2295.5,0.0,0.0,0.0,0.0,0.0,593100.0,429500.0,right_only
60,,2023-06-28,,,,,,,,,,,,,,40.0,2276.0,2300.0,2271.5,2300.0,35651600.0,2300.0,0.0,0.0,0.0,0.0,0.0,587100.0,352900.0,right_only
61,,2023-06-27,,,,,,,,,,,,,,41.0,2248.0,2257.5,2221.0,2237.0,26165400.0,2237.0,0.0,0.0,0.0,0.0,0.0,603500.0,341300.0,right_only
62,,2023-06-26,,,,,,,,,,,,,,42.0,2204.0,2227.0,2191.0,2221.0,22817900.0,2221.0,0.0,0.0,0.0,0.0,0.0,548100.0,438500.0,right_only
29,29.0,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,3620700.0,14089000.0,3.89,0,0,0.0,0.0,43.0,2252.0,2255.0,2171.5,2199.5,30642900.0,2199.5,3620700.0,14089000.0,3.89,0.0,0.0,565600.0,428300.0,both
63,,2023-06-22,,,,,,,,,,,,,,44.0,2246.0,2258.0,2231.5,2240.5,29584300.0,2240.5,0.0,0.0,0.0,0.0,0.0,566100.0,677800.0,right_only
64,,2023-06-21,,,,,,,,,,,,,,45.0,2222.0,2228.5,2205.5,2218.5,38394900.0,2218.5,0.0,0.0,0.0,0.0,0.0,565000.0,643400.0,right_only
65,,2023-06-20,,,,,,,,,,,,,,46.0,2250.0,2263.0,2222.0,2244.0,36130900.0,2244.0,0.0,0.0,0.0,0.0,0.0,639300.0,912400.0,right_only
66,,2023-06-19,,,,,,,,,,,,,,47.0,2320.5,2323.0,2240.0,2253.0,41460800.0,2253.0,0.0,0.0,0.0,0.0,0.0,675200.0,801400.0,right_only
30,30.0,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,4703900.0,12360500.0,2.63,0,0,0.0,0.0,48.0,2350.0,2350.0,2275.0,2316.0,59050900.0,2316.0,4703900.0,12360500.0,2.63,0.0,0.0,672100.0,527000.0,both
67,,2023-06-15,,,,,,,,,,,,,,49.0,2346.0,2358.0,2303.5,2320.5,57885900.0,2320.5,0.0,0.0,0.0,0.0,0.0,690000.0,492900.0,right_only
68,,2023-06-14,,,,,,,,,,,,,,50.0,2260.0,2350.0,2235.0,2310.0,99612100.0,2310.0,0.0,0.0,0.0,0.0,0.0,613900.0,420900.0,right_only
69,,2023-06-13,,,,,,,,,,,,,,51.0,2100.0,2183.0,2099.5,2173.5,70125200.0,2173.5,0.0,0.0,0.0,0.0,0.0,518300.0,479700.0,right_only
70,,2023-06-12,,,,,,,,,,,,,,52.0,2065.5,2073.5,2054.5,2069.0,19714600.0,2069.0,0.0,0.0,0.0,0.0,0.0,509100.0,453300.0,right_only
31,31.0,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,3073800.0,9574000.0,3.11,0,0,0.0,0.0,53.0,2055.0,2057.5,2030.0,2051.5,37276500.0,2051.5,3073800.0,9574000.0,3.11,0.0,0.0,389600.0,285200.0,both
71,,2023-06-08,,,,,,,,,,,,,,54.0,2038.5,2052.0,2017.5,2024.0,28562300.0,2024.0,0.0,0.0,0.0,0.0,0.0,348700.0,247400.0,right_only
72,,2023-06-07,,,,,,,,,,,,,,55.0,2058.0,2078.5,2021.0,2022.0,41062900.0,2022.0,0.0,0.0,0.0,0.0,0.0,382600.0,239700.0,right_only
73,,2023-06-06,,,,,,,,,,,,,,56.0,2025.0,2050.0,2011.5,2050.0,22611500.0,2050.0,0.0,0.0,0.0,0.0,0.0,544600.0,424000.0,right_only
74,,2023-06-05,,,,,,,,,,,,,,57.0,2050.0,2058.5,2021.0,2028.5,33729200.0,2028.5,0.0,0.0,0.0,0.0,0.0,515100.0,366900.0,right_only
32,32.0,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,2848800.0,10461200.0,3.67,0,0,0.0,0.0,58.0,1960.5,2010.0,1959.0,2009.5,46785900.0,2009.5,2848800.0,10461200.0,3.67,0.0,0.0,213000.0,105300.0,both
75,,2023-06-01,,,,,,,,,,,,,,59.0,1946.0,1973.0,1935.5,1943.0,36193300.0,1943.0,0.0,0.0,0.0,0.0,0.0,190800.0,111100.0,right_only
76,,2023-05-31,,,,,,,,,,,,,,60.0,1929.5,1934.5,1892.5,1908.5,53396000.0,1908.5,0.0,0.0,0.0,0.0,0.0,109600.0,408600.0,right_only
77,,2023-05-30,,,,,,,,,,,,,,61.0,1921.0,1944.0,1910.5,1940.0,18882600.0,1940.0,0.0,0.0,0.0,0.0,0.0,162300.0,129800.0,right_only
78,,2023-05-29,,,,,,,,,,,,,,62.0,1959.0,1960.0,1922.0,1928.5,28467700.0,1928.5,0.0,0.0,0.0,0.0,0.0,181000.0,309500.0,right_only
33,33.0,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,2057900.0,13105100.0,6.37,0,0,0.0,0.0,63.0,1940.5,1956.0,1931.0,1937.0,20230300.0,1937.0,2057900.0,13105100.0,6.37,0.0,0.0,204300.0,181500.0,both
79,,2023-05-25,,,,,,,,,,,,,,64.0,1953.5,1960.0,1937.0,1938.5,26877800.0,1938.5,0.0,0.0,0.0,0.0,0.0,193100.0,322500.0,right_only
80,,2023-05-24,,,,,,,,,,,,,,65.0,1949.5,1959.5,1924.0,1956.5,35899300.0,1956.5,0.0,0.0,0.0,0.0,0.0,164400.0,208800.0,right_only
81,,2023-05-23,,,,,,,,,,,,,,66.0,1970.0,1979.0,1857.0,1857.0,39793700.0,1857.0,0.0,0.0,0.0,0.0,0.0,186300.0,471400.0,right_only
82,,2023-05-22,,,,,,,,,,,,,,67.0,1945.0,1950.0,1934.5,1950.0,25566800.0,1950.0,0.0,0.0,0.0,0.0,0.0,197500.0,321800.0,right_only
34,34.0,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,2145800.0,12183600.0,5.68,0,0,0.0,0.0,68.0,1963.5,1973.5,1950.5,1959.5,23600700.0,1959.5,2145800.0,12183600.0,5.68,0.0,0.0,200300.0,208000.0,both
83,,2023-05-18,,,,,,,,,,,,,,69.0,1945.0,1958.0,1942.0,1955.5,28317600.0,1955.5,0.0,0.0,0.0,0.0,0.0,219200.0,230700.0,right_only
