,Unnamed: 0,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,Unnamed: 0_x,Unnamed: 0_y
0,,2023-08-31,724.0,730.0,722.0,727.0,171500.0,727.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,
1,,2023-08-30,720.0,724.0,719.0,721.0,200100.0,721.0,0.0,0.0,0.0,-,-,400.0,7700.0,1.0,
2,,2023-08-29,720.0,722.0,718.0,722.0,200500.0,722.0,0.0,0.0,0.0,-,-,400.0,8500.0,2.0,
3,,2023-08-28,725.0,728.0,717.0,720.0,260200.0,720.0,0.0,0.0,0.0,-,-,400.0,8400.0,3.0,
4,0.0,2023-08-25,715.0,723.0,713.0,720.0,262700.0,720.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,
5,1.0,2023-08-24,703.0,719.0,700.0,718.0,300100.0,718.0,0.0,0.0,0.0,0.0,0,0.0,9600.0,,
6,2.0,2023-08-23,692.0,703.0,691.0,702.0,296400.0,702.0,0.0,0.0,0.0,0.0,0,0.0,9600.0,,
7,3.0,2023-08-22,682.0,689.0,682.0,689.0,167500.0,689.0,0.0,0.0,0.0,0.0,0,0.0,9500.0,,
8,4.0,2023-08-21,675.0,684.0,674.0,681.0,171900.0,681.0,0.0,0.0,0.0,0.0,0,0.0,9800.0,,
9,5.0,2023-08-18,673.0,674.0,668.0,671.0,265900.0,671.0,83500.0,1003100.0,12.01,0.0,0,0.0,10100.0,,
10,6.0,2023-08-17,679.0,681.0,672.0,676.0,224800.0,676.0,0.0,0.0,0.0,0.0,0,0.0,9200.0,,
11,7.0,2023-08-16,673.0,675.0,670.0,674.0,157400.0,674.0,0.0,0.0,0.0,0.0,0,0.0,5900.0,,
12,8.0,2023-08-15,676.0,678.0,672.0,675.0,196400.0,675.0,0.0,0.0,0.0,0.0,0,0.0,22300.0,,
13,9.0,2023-08-14,682.0,683.0,673.0,675.0,351300.0,675.0,0.0,0.0,0.0,0.0,0,0.0,22600.0,,
14,10.0,2023-08-10,680.0,682.0,677.0,682.0,132900.0,682.0,80300.0,1052500.0,13.11,0.0,0,0.0,15300.0,,
15,11.0,2023-08-09,682.0,682.0,677.0,679.0,108500.0,679.0,0.0,0.0,0.0,0.0,0,0.0,15600.0,,
16,12.0,2023-08-08,679.0,682.0,677.0,680.0,149700.0,680.0,0.0,0.0,0.0,0.0,0,0.0,15600.0,,
17,13.0,2023-08-07,669.0,678.0,668.0,678.0,271400.0,678.0,0.0,0.0,0.0,0.0,0,0.0,17000.0,,
18,14.0,2023-08-04,666.0,669.0,663.0,669.0,185700.0,669.0,73300.0,1155100.0,15.76,0.0,0,0.0,14100.0,,
19,15.0,2023-08-03,674.0,674.0,665.0,665.0,456500.0,665.0,0.0,0.0,0.0,0.0,0,0.0,18100.0,,
20,16.0,2023-08-02,682.0,683.0,673.0,676.0,422800.0,676.0,0.0,0.0,0.0,0.0,0,0.0,10200.0,,
21,17.0,2023-08-01,691.0,691.0,677.0,677.0,977500.0,677.0,0.0,0.0,0.0,0.0,0,0.0,9600.0,,
