,Unnamed: 0_x,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,Unnamed: 0_y,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,_merge
0,0.0,2023-08-31,1669.0,1692.0,1664.0,1686.0,127100.0,1686.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,left_only
1,1.0,2023-08-30,1662.0,1673.0,1657.0,1664.0,95800.0,1664.0,0.0,0.0,0.0,-,-,4000.0,4200.0,,,,,,,,,,,,,,,left_only
2,2.0,2023-08-29,1693.0,1694.0,1666.0,1671.0,59200.0,1671.0,0.0,0.0,0.0,-,-,4000.0,4200.0,,,,,,,,,,,,,,,left_only
3,3.0,2023-08-28,1655.0,1689.0,1655.0,1688.0,76700.0,1688.0,0.0,0.0,0.0,-,-,4300.0,4600.0,,,,,,,,,,,,,,,left_only
4,4.0,2023-08-25,1613.0,1652.0,1605.0,1637.0,93000.0,1637.0,25400.0,93800.0,3.69,0.00,-,3800.0,3800.0,0.0,1613.0,1652.0,1605.0,1637.0,93000.0,1637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
5,5.0,2023-08-24,1621.0,1638.0,1613.0,1633.0,91700.0,1633.0,0.0,0.0,0.0,0.00,-,3600.0,4500.0,1.0,1621.0,1638.0,1613.0,1633.0,91700.0,1633.0,0.0,0.0,0.0,0.0,0.0,3600.0,4500.0,both
6,6.0,2023-08-23,1619.0,1622.0,1587.0,1622.0,141700.0,1622.0,0.0,0.0,0.0,0.00,-,3400.0,3500.0,2.0,1619.0,1622.0,1587.0,1622.0,141700.0,1622.0,0.0,0.0,0.0,0.0,0.0,3400.0,3500.0,both
7,7.0,2023-08-22,1621.0,1646.0,1615.0,1635.0,97900.0,1635.0,0.0,0.0,0.0,-,-,3400.0,5000.0,3.0,1621.0,1646.0,1615.0,1635.0,97900.0,1635.0,0.0,0.0,0.0,0.0,0.0,3400.0,5000.0,both
8,8.0,2023-08-21,1650.0,1650.0,1611.0,1617.0,126900.0,1617.0,0.0,0.0,0.0,0.00,1,3500.0,6300.0,4.0,1650.0,1650.0,1611.0,1617.0,126900.0,1617.0,0.0,0.0,0.0,0.0,1.0,3500.0,6300.0,both
9,9.0,2023-08-18,1678.0,1680.0,1642.0,1656.0,146100.0,1656.0,31100.0,82700.0,2.66,0.00,1,4600.0,3900.0,5.0,1678.0,1680.0,1642.0,1656.0,146100.0,1656.0,31100.0,82700.0,2.66,0.0,1.0,4600.0,3900.0,both
