,Unnamed: 0_x,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,Unnamed: 0_y,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,_merge
0,0.0,2023-08-10,1204.0,1235.0,1204.0,1233.0,33400.0,1233.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left_only
1,1.0,2023-08-09,1239.0,1239.0,1213.0,1213.0,60000.0,1213.0,0.0,0.0,0.0,-,-,1300.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left_only
2,2.0,2023-08-08,1266.0,1269.0,1233.0,1237.0,67400.0,1237.0,0.0,0.0,0.0,-,-,1300.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,left_only
3,3.0,2023-08-07,1277.0,1331.0,1261.0,1269.0,155900.0,1269.0,0.0,0.0,0.0,-,-,4500.0,6800.0,0.0,1277.0,1331.0,1261.0,1269.0,155900.0,1269.0,0.0,0.0,0.0,0,0,0.0,0.0,both
4,4.0,2023-08-04,1338.0,1375.0,1208.0,1217.0,251600.0,1217.0,10500.0,111500.0,10.62,-,-,4300.0,5500.0,1.0,1338.0,1375.0,1208.0,1217.0,251600.0,1217.0,0.0,0.0,0.0,-,-,4300.0,5500.0,both
5,5.0,2023-08-03,1356.0,1356.0,1329.0,1338.0,49300.0,1338.0,0.0,0.0,0.0,-,-,4000.0,6800.0,2.0,1356.0,1356.0,1329.0,1338.0,49300.0,1338.0,0.0,0.0,0.0,-,-,4000.0,6800.0,both
6,6.0,2023-08-02,1380.0,1391.0,1366.0,1374.0,28200.0,1374.0,0.0,0.0,0.0,-,-,4600.0,5900.0,3.0,1380.0,1391.0,1366.0,1374.0,28200.0,1374.0,0.0,0.0,0.0,-,-,4600.0,5900.0,both
7,7.0,2023-08-01,1387.0,1405.0,1384.0,1388.0,34300.0,1388.0,0.0,0.0,0.0,-,-,4900.0,4600.0,4.0,1387.0,1405.0,1384.0,1388.0,34300.0,1388.0,0.0,0.0,0.0,-,-,4900.0,4600.0,both
8,8.0,2023-07-31,1378.0,1407.0,1366.0,1387.0,49500.0,1387.0,0.0,0.0,0.0,-,-,6900.0,4400.0,5.0,1378.0,1407.0,1366.0,1387.0,49500.0,1387.0,0.0,0.0,0.0,-,-,6900.0,4400.0,both
9,9.0,2023-07-28,1368.0,1371.0,1331.0,1354.0,162100.0,1354.0,11200.0,134500.0,12.01,-,-,6800.0,2400.0,6.0,1368.0,1371.0,1331.0,1354.0,162100.0,1354.0,0.0,0.0,0.0,-,-,6800.0,2400.0,both
10,10.0,2023-07-27,1396.0,1402.0,1374.0,1389.0,40500.0,1389.0,0.0,0.0,0.0,-,-,5700.0,2700.0,7.0,1396.0,1402.0,1374.0,1389.0,40500.0,1389.0,0.0,0.0,0.0,-,-,5700.0,2700.0,both
11,11.0,2023-07-26,1347.0,1405.0,1331.0,1398.0,64600.0,1398.0,0.0,0.0,0.0,-,-,5200.0,3400.0,8.0,1347.0,1405.0,1331.0,1398.0,64600.0,1398.0,0.0,0.0,0.0,-,-,5200.0,3400.0,both
12,12.0,2023-07-25,1333.0,1355.0,1329.0,1347.0,46300.0,1347.0,0.0,0.0,0.0,-,-,5100.0,1600.0,9.0,1333.0,1355.0,1329.0,1347.0,46300.0,1347.0,0.0,0.0,0.0,-,-,5100.0,1600.0,both
13,13.0,2023-07-24,1327.0,1340.0,1310.0,1337.0,24100.0,1337.0,0.0,0.0,0.0,-,-,4800.0,1500.0,10.0,1327.0,1340.0,1310.0,1337.0,24100.0,1337.0,0.0,0.0,0.0,-,-,4800.0,1500.0,both
14,14.0,2023-07-21,1335.0,1340.0,1323.0,1327.0,27900.0,1327.0,10700.0,123800.0,11.57,-,-,4000.0,1300.0,11.0,1335.0,1340.0,1323.0,1327.0,27900.0,1327.0,10700.0,123800.0,11.57,-,-,4000.0,1300.0,both
15,15.0,2023-07-20,1334.0,1346.0,1331.0,1335.0,34300.0,1335.0,0.0,0.0,0.0,-,-,6600.0,1300.0,12.0,1334.0,1346.0,1331.0,1335.0,34300.0,1335.0,0.0,0.0,0.0,-,-,6600.0,1300.0,both
16,16.0,2023-07-19,1319.0,1335.0,1307.0,1330.0,40300.0,1330.0,0.0,0.0,0.0,-,-,6300.0,1400.0,13.0,1319.0,1335.0,1307.0,1330.0,40300.0,1330.0,0.0,0.0,0.0,-,-,6300.0,1400.0,both
17,17.0,2023-07-18,1267.0,1309.0,1267.0,1296.0,27000.0,1296.0,0.0,0.0,0.0,-,-,2900.0,500.0,14.0,1267.0,1309.0,1267.0,1296.0,27000.0,1296.0,0.0,0.0,0.0,-,-,2900.0,500.0,both
18,18.0,2023-07-14,1301.0,1304.0,1270.0,1270.0,32900.0,1270.0,10100.0,126300.0,12.5,-,-,2900.0,500.0,15.0,1301.0,1304.0,1270.0,1270.0,32900.0,1270.0,10100.0,126300.0,12.5,-,-,2900.0,500.0,both
19,19.0,2023-07-13,1307.0,1307.0,1273.0,1301.0,32800.0,1301.0,0.0,0.0,0.0,-,-,3200.0,600.0,16.0,1307.0,1307.0,1273.0,1301.0,32800.0,1301.0,0.0,0.0,0.0,-,-,3200.0,600.0,both
20,20.0,2023-07-12,1344.0,1344.0,1285.0,1290.0,90500.0,1290.0,0.0,0.0,0.0,-,-,3300.0,2800.0,17.0,1344.0,1344.0,1285.0,1290.0,90500.0,1290.0,0.0,0.0,0.0,-,-,3300.0,2800.0,both
21,21.0,2023-07-11,1390.0,1390.0,1343.0,1343.0,47800.0,1343.0,0.0,0.0,0.0,-,-,4500.0,500.0,18.0,1390.0,1390.0,1343.0,1343.0,47800.0,1343.0,0.0,0.0,0.0,-,-,4500.0,500.0,both
22,22.0,2023-07-10,1355.0,1393.0,1352.0,1376.0,32300.0,1376.0,0.0,0.0,0.0,0,0,0.0,0.0,19.0,1355.0,1393.0,1352.0,1376.0,32300.0,1376.0,0.0,0.0,0.0,-,-,4600.0,600.0,both
23,23.0,2023-07-07,1346.0,1370.0,1326.0,1356.0,47100.0,1356.0,10100.0,138800.0,13.74,0,0,0.0,0.0,20.0,1346.0,1370.0,1326.0,1356.0,47100.0,1356.0,10100.0,138800.0,13.74,-,-,4200.0,400.0,both
24,24.0,2023-07-06,1392.0,1397.0,1363.0,1365.0,32100.0,1365.0,0.0,0.0,0.0,0,0,0.0,0.0,21.0,1392.0,1397.0,1363.0,1365.0,32100.0,1365.0,0.0,0.0,0.0,-,-,4500.0,400.0,both
