,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-08-10,3503,3575,3499,3575,404600,3575,0,0,0,0,0,0,0
1,2023-08-09,3495,3514,3461,3510,264300,3510,0,0,0,0,1,18800,17200
2,2023-08-08,3482,3514,3481,3505,303500,3505,0,0,0,0,4,19000,16400
3,2023-08-07,3410,3471,3400,3468,391700,3468,0,0,0,0,1,18100,17900
4,2023-08-04,3435,3440,3399,3406,360100,3406,89900,74900,0.83,0,-,15000,15000
5,2023-08-03,3467,3482,3425,3448,526300,3448,0,0,0,0,1,14800,14200
6,2023-08-02,3550,3558,3471,3475,642600,3475,0,0,0,0,-,12300,12400
7,2023-08-01,3531,3549,3515,3539,607800,3539,0,0,0,0,1,15100,11900
8,2023-07-31,3485,3533,3467,3523,908100,3523,0,0,0,0,1,16500,12000
9,2023-07-28,3462,3485,3360,3421,1344100,3421,114700,92800,0.81,0,-,10300,10400
10,2023-07-27,3493,3526,3460,3522,570200,3522,0,0,0,0.05,1,28000,22300
11,2023-07-26,3453,3484,3421,3481,380300,3481,0,0,0,0.15,3,25100,16300
12,2023-07-25,3445,3462,3432,3461,306400,3461,0,0,0,0.05,1,23300,15700
13,2023-07-24,3450,3495,3442,3451,550500,3451,0,0,0,0.05,1,19500,15300
14,2023-07-21,3422,3432,3384,3414,448200,3414,110300,63200,0.57,0.05,1,16600,10400
15,2023-07-20,3415,3449,3401,3437,410300,3437,0,0,0,0.05,1,16200,11400
16,2023-07-19,3371,3422,3357,3422,364700,3422,0,0,0,0.15,3,15400,8200
17,2023-07-18,3386,3430,3341,3353,521700,3353,0,0,0,0.05,1,14100,6600
18,2023-07-14,3403,3420,3356,3387,390900,3387,116200,59200,0.51,0.1,1,20300,3400
19,2023-07-13,3406,3410,3365,3397,429500,3397,0,0,0,0.05,1,16900,2600
20,2023-07-12,3481,3481,3421,3421,365300,3421,0,0,0,0.4,4,18100,3700
21,2023-07-11,3491,3502,3454,3464,347000,3464,0,0,0,0.05,1,30200,4500
22,2023-07-10,3455,3497,3430,3478,768100,3478,0,0,0,0.1,1,51900,4600
23,2023-07-07,3450,3499,3425,3450,441600,3450,116100,54900,0.47,0.05,1,17500,4400
24,2023-07-06,3472,3529,3461,3481,712200,3481,0,0,0,0.05,1,19600,2800
25,2023-07-05,3390,3463,3384,3460,421100,3460,0,0,0,0.15,3,11700,4300
26,2023-07-04,3420,3430,3394,3407,504900,3407,0,0,0,0,1,11500,8700
27,2023-07-03,3439,3446,3418,3427,750200,3427,0,0,0,0.05,1,11400,5300
28,2023-06-30,3415,3430,3376,3414,1055100,3414,123800,62000,0.5,0.05,1,12700,2700
29,2023-06-29,3480,3507,3419,3431,660300,3431,0,0,0,0.05,1,13100,4400
30,2023-06-28,3450,3491,3427,3480,1033400,3480,0,0,0,0.15,3,17800,4300
31,2023-06-27,3456,3479,3392,3457,1168200,3457,0,0,0,0.1,1,23600,4800
32,2023-06-26,3555,3573,3509,3519,716500,3519,0,0,0,0.1,1,16300,4500
33,2023-06-23,3600,3632,3533,3559,897200,3559,106800,41800,0.39,0.1,1,19400,4700
34,2023-06-22,3530,3588,3525,3575,670200,3575,0,0,0,0.05,1,22500,6300
35,2023-06-21,3448,3506,3436,3501,543000,3501,0,0,0,0.15,3,22200,6100
36,2023-06-20,3485,3485,3448,3467,651300,3467,0,0,0,0.05,1,18700,7300
37,2023-06-19,3489,3512,3457,3489,672100,3489,0,0,0,0.05,1,18500,12700
38,2023-06-16,3483,3488,3437,3471,985500,3471,104800,51100,0.49,0.05,1,18800,13500
39,2023-06-15,3490,3536,3454,3507,884000,3507,0,0,0,0.05,1,19300,14200
40,2023-06-14,3493,3500,3450,3463,762200,3463,0,0,0,0.3,3,20200,6000
41,2023-06-13,3439,3464,3418,3423,546600,3423,0,0,0,0.05,1,15800,5000
42,2023-06-12,3450,3476,3434,3436,408200,3436,0,0,0,0.05,1,19100,6200
43,2023-06-09,3382,3441,3373,3436,758900,3436,109400,54200,0.5,0.05,1,18700,7400
44,2023-06-08,3452,3463,3373,3391,784200,3391,0,0,0,0.05,1,18100,9400
45,2023-06-07,3545,3556,3438,3454,920300,3454,0,0,0,0.15,3,19900,5600
46,2023-06-06,3464,3544,3446,3541,417500,3541,0,0,0,0.05,1,23000,5900
47,2023-06-05,3498,3503,3466,3499,601300,3499,0,0,0,0.1,1,26200,4200
48,2023-06-02,3370,3445,3350,3445,864700,3445,163500,42700,0.26,0.1,1,70000,2100
49,2023-06-01,3390,3395,3355,3380,652600,3380,0,0,0,0.1,1,70200,3000
50,2023-05-31,3380,3420,3370,3375,1522300,3375,0,0,0,0.3,3,71600,3900
51,2023-05-30,3390,3410,3355,3405,505400,3405,0,0,0,0.1,1,72300,3000
52,2023-05-29,3400,3430,3385,3410,356600,3410,0,0,0,0.1,1,75100,500
53,2023-05-26,3385,3410,3375,3385,526600,3385,164600,40500,0.25,0.1,1,84000,1300
54,2023-05-25,3405,3430,3380,3405,490600,3405,0,0,0,0.1,1,80400,1400
55,2023-05-24,3425,3425,3395,3400,415000,3400,0,0,0,0.3,3,80400,1400
56,2023-05-23,3460,3470,3400,3425,456700,3425,0,0,0,0.1,1,75700,1400
57,2023-05-22,3380,3455,3380,3440,353100,3440,0,0,0,0.1,1,76300,1500
58,2023-05-19,3390,3410,3365,3390,483400,3390,159600,45600,0.29,0.1,1,74500,1500
59,2023-05-18,3415,3420,3330,3405,867100,3405,0,0,0,0.1,1,75700,1400
60,2023-05-17,3380,3440,3370,3430,673600,3430,0,0,0,0.3,3,78900,1300
61,2023-05-16,3400,3405,3360,3385,630500,3385,0,0,0,0.1,1,75200,1400
62,2023-05-15,3385,3400,3355,3390,379000,3390,0,0,0,0.1,1,26000,1200
63,2023-05-12,3325,3375,3325,3360,602500,3360,113900,48800,0.43,0.05,1,21400,1200
64,2023-05-11,3335,3355,3315,3340,444200,3340,0,0,0,0.05,1,19500,2300
65,2023-05-10,3355,3360,3320,3345,475300,3345,0,0,0,0.3,3,21500,2300
66,2023-05-09,3350,3365,3320,3340,676300,3340,0,0,0,0.1,1,16600,3700
67,2023-05-08,3310,3350,3285,3325,802200,3325,0,0,0,0.1,1,17600,7800
68,2023-05-02,3355,3355,3265,3315,865300,3315,0,0,0,0.05,1,20100,7100
69,2023-05-01,3385,3390,3345,3380,867200,3380,0,0,0,0.1,1,19200,11100
70,2023-04-28,3320,3385,3265,3375,1648500,3375,100100,85600,0.86,0,0,15300,15800
71,2023-04-27,3245,3305,3190,3305,1475100,3305,0,0,0,0,0,7700,7600
72,2023-04-26,3240,3255,3205,3245,937500,3245,0,0,0,0,0,5700,3100
73,2023-04-25,3180,3270,3170,3270,1511800,3270,0,0,0,0,0,9800,7300
74,2023-04-24,3105,3195,3100,3185,1119400,3185,0,0,0,0,0,11600,11600
75,2023-04-21,3070,3095,3060,3085,617000,3085,91800,104400,1.14,0,1,8700,7500
76,2023-04-20,3050,3060,3025,3055,764400,3055,0,0,0,0,0,8200,7700
77,2023-04-19,3100,3105,3050,3070,516400,3070,0,0,0,0,0,7400,6400
78,2023-04-18,3115,3140,3070,3105,720300,3105,0,0,0,0,0,6900,5100
79,2023-04-17,3090,3125,3075,3125,884700,3125,0,0,0,0,0,5900,3300
80,2023-04-14,3055,3090,3045,3085,1155100,3085,87200,106500,1.22,0,0,8500,6000
81,2023-04-13,3005,3065,2991,3045,934800,3045,0,0,0,0,0,6200,2500
82,2023-04-12,3020,3040,2999,3030,591300,3030,0,0,0,0,0,5100,2400
83,2023-04-11,2984,3010,2971,3010,446700,3010,0,0,0,0,0,3700,2600
84,2023-04-10,2939,2973,2933,2963,407100,2963,0,0,0,0,0,1800,2500
85,2023-04-07,2934,2939,2903,2922,395300,2922,78600,134800,1.72,0,0,1500,5600
86,2023-04-06,2907,2934,2900,2934,617700,2934,0,0,0,0,0,1800,3000
87,2023-04-05,2981,2981,2923,2923,572400,2923,0,0,0,0,0,1900,2500
88,2023-04-04,3000,3020,2968,3020,527200,3020,0,0,0,0,0,1700,2500
89,2023-04-03,2951,2999,2941,2998,747000,2998,0,0,0,0,0,1000,6000
90,2023-03-31,2923,2938,2911,2930,841600,2930,80800,134600,1.67,0,0,1500,2500
91,2023-03-30,2860,2909,2853,2902,556300,2902,0,0,0,0,0,700,3500
92,2023-03-29,2855,2922,2853,2916,674300,2916,0,0,0,0,0,12300,9000
93,2023-03-28,2900,2900,2849,2862,570500,2862,0,0,0,0,0,2800,3200
94,2023-03-27,2862,2900,2851,2872,546700,2872,0,0,0,0,0,2800,2100
95,2023-03-24,2843,2848,2818,2840,593000,2840,80700,141300,1.75,0,0,2800,3700
96,2023-03-23,2833,2871,2815,2871,625500,2871,0,0,0,0,0,2800,1900
97,2023-03-22,2886,2891,2828,2878,973600,2878,0,0,0,0,0,1100,2000
98,2023-03-20,2883,2901,2836,2836,525200,2836,0,0,0,0,0,0,0
99,2023-03-17,2901,2936,2894,2911,745400,2911,73100,144400,1.98,0,0,0,0
100,2023-03-10,0,0,0,0,0,0,82900,121400,1.46,0,0,0,0
101,2023-03-03,0,0,0,0,0,0,74800,154900,2.07,0,0,0,0
