,Unnamed: 0_x,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,Unnamed: 0_y,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,_merge
0,0.0,2023-08-25,715.0,723.0,713.0,720.0,262700.0,720.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,left_only
1,1.0,2023-08-24,703.0,719.0,700.0,718.0,300100.0,718.0,0.0,0.0,0.0,-,-,0.0,9600.0,,,,,,,,,,,,,,,left_only
2,2.0,2023-08-23,692.0,703.0,691.0,702.0,296400.0,702.0,0.0,0.0,0.0,-,-,0.0,9600.0,0.0,692.0,703.0,691.0,702.0,296400.0,702.0,0.0,0.0,0.0,0,0,0.0,0.0,both
3,3.0,2023-08-22,682.0,689.0,682.0,689.0,167500.0,689.0,0.0,0.0,0.0,-,-,0.0,9500.0,1.0,682.0,689.0,682.0,689.0,167500.0,689.0,0.0,0.0,0.0,-,-,0.0,9500.0,both
4,4.0,2023-08-21,675.0,684.0,674.0,681.0,171900.0,681.0,0.0,0.0,0.0,-,-,0.0,9800.0,2.0,675.0,684.0,674.0,681.0,171900.0,681.0,0.0,0.0,0.0,-,-,0.0,9800.0,both
5,5.0,2023-08-18,673.0,674.0,668.0,671.0,265900.0,671.0,83500.0,1003100.0,12.01,-,-,0.0,10100.0,3.0,673.0,674.0,668.0,671.0,265900.0,671.0,83500.0,1003100.0,12.01,-,-,0.0,10100.0,both
6,6.0,2023-08-17,679.0,681.0,672.0,676.0,224800.0,676.0,0.0,0.0,0.0,-,-,0.0,9200.0,4.0,679.0,681.0,672.0,676.0,224800.0,676.0,0.0,0.0,0.0,-,-,0.0,9200.0,both
7,7.0,2023-08-16,673.0,675.0,670.0,674.0,157400.0,674.0,0.0,0.0,0.0,-,-,0.0,5900.0,5.0,673.0,675.0,670.0,674.0,157400.0,674.0,0.0,0.0,0.0,-,-,0.0,5900.0,both
8,8.0,2023-08-15,676.0,678.0,672.0,675.0,196400.0,675.0,0.0,0.0,0.0,-,-,0.0,22300.0,6.0,676.0,678.0,672.0,675.0,196400.0,675.0,0.0,0.0,0.0,-,-,0.0,22300.0,both
9,9.0,2023-08-14,682.0,683.0,673.0,675.0,351300.0,675.0,0.0,0.0,0.0,-,-,0.0,22600.0,7.0,682.0,683.0,673.0,675.0,351300.0,675.0,0.0,0.0,0.0,-,-,0.0,22600.0,both
10,10.0,2023-08-10,680.0,682.0,677.0,682.0,132900.0,682.0,80300.0,1052500.0,13.11,-,-,0.0,15300.0,8.0,680.0,682.0,677.0,682.0,132900.0,682.0,80300.0,1052500.0,13.11,-,-,0.0,15300.0,both
11,11.0,2023-08-09,682.0,682.0,677.0,679.0,108500.0,679.0,0.0,0.0,0.0,-,-,0.0,15600.0,9.0,682.0,682.0,677.0,679.0,108500.0,679.0,0.0,0.0,0.0,-,-,0.0,15600.0,both
12,12.0,2023-08-08,679.0,682.0,677.0,680.0,149700.0,680.0,0.0,0.0,0.0,-,-,0.0,15600.0,10.0,679.0,682.0,677.0,680.0,149700.0,680.0,0.0,0.0,0.0,-,-,0.0,15600.0,both
13,13.0,2023-08-07,669.0,678.0,668.0,678.0,271400.0,678.0,0.0,0.0,0.0,-,-,0.0,17000.0,11.0,669.0,678.0,668.0,678.0,271400.0,678.0,0.0,0.0,0.0,-,-,0.0,17000.0,both
14,14.0,2023-08-04,666.0,669.0,663.0,669.0,185700.0,669.0,73300.0,1155100.0,15.76,-,-,0.0,14100.0,12.0,666.0,669.0,663.0,669.0,185700.0,669.0,73300.0,1155100.0,15.76,-,-,0.0,14100.0,both
15,15.0,2023-08-03,674.0,674.0,665.0,665.0,456500.0,665.0,0.0,0.0,0.0,-,-,0.0,18100.0,13.0,674.0,674.0,665.0,665.0,456500.0,665.0,0.0,0.0,0.0,-,-,0.0,18100.0,both
16,16.0,2023-08-02,682.0,683.0,673.0,676.0,422800.0,676.0,0.0,0.0,0.0,-,-,0.0,10200.0,14.0,682.0,683.0,673.0,676.0,422800.0,676.0,0.0,0.0,0.0,-,-,0.0,10200.0,both
17,17.0,2023-08-01,691.0,691.0,677.0,677.0,977500.0,677.0,0.0,0.0,0.0,-,-,0.0,9600.0,15.0,691.0,691.0,677.0,677.0,977500.0,677.0,0.0,0.0,0.0,-,-,0.0,9600.0,both
18,18.0,2023-07-31,710.0,715.0,706.0,714.0,336200.0,714.0,0.0,0.0,0.0,-,-,0.0,14700.0,16.0,710.0,715.0,706.0,714.0,336200.0,714.0,0.0,0.0,0.0,-,-,0.0,14700.0,both
19,19.0,2023-07-28,698.0,705.0,697.0,705.0,217900.0,705.0,58600.0,949600.0,16.2,-,-,0.0,15800.0,17.0,698.0,705.0,697.0,705.0,217900.0,705.0,58600.0,949600.0,16.2,-,-,0.0,15800.0,both
20,20.0,2023-07-27,700.0,703.0,698.0,702.0,116900.0,702.0,0.0,0.0,0.0,-,-,6800.0,15000.0,18.0,700.0,703.0,698.0,702.0,116900.0,702.0,0.0,0.0,0.0,-,-,6800.0,15000.0,both
21,21.0,2023-07-26,703.0,703.0,699.0,701.0,186400.0,701.0,0.0,0.0,0.0,-,-,7000.0,14800.0,19.0,703.0,703.0,699.0,701.0,186400.0,701.0,0.0,0.0,0.0,-,-,7000.0,14800.0,both
22,22.0,2023-07-25,704.0,706.0,702.0,705.0,94200.0,705.0,0.0,0.0,0.0,-,-,7000.0,14200.0,20.0,704.0,706.0,702.0,705.0,94200.0,705.0,0.0,0.0,0.0,-,-,7000.0,14200.0,both
23,23.0,2023-07-24,705.0,706.0,702.0,703.0,55000.0,703.0,0.0,0.0,0.0,-,-,7000.0,30100.0,21.0,705.0,706.0,702.0,703.0,55000.0,703.0,0.0,0.0,0.0,-,-,7000.0,30100.0,both
24,24.0,2023-07-21,703.0,703.0,697.0,700.0,146500.0,700.0,72200.0,1000600.0,13.86,0,0,0.0,0.0,22.0,703.0,703.0,697.0,700.0,146500.0,700.0,72200.0,1000600.0,13.86,-,-,7000.0,30200.0,both
44,,2023-07-20,,,,,,,,,,,,,,23.0,700.0,704.0,699.0,700.0,139200.0,700.0,0.0,0.0,0.0,-,-,7000.0,30200.0,right_only
45,,2023-07-19,,,,,,,,,,,,,,24.0,694.0,698.0,693.0,698.0,175900.0,698.0,0.0,0.0,0.0,-,-,7000.0,15900.0,right_only
46,,2023-07-18,,,,,,,,,,,,,,25.0,695.0,696.0,690.0,692.0,167400.0,692.0,0.0,0.0,0.0,-,-,7000.0,16300.0,right_only
25,25.0,2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,66700.0,923500.0,13.85,0,0,0.0,0.0,26.0,699.0,701.0,691.0,694.0,124900.0,694.0,66700.0,923500.0,13.85,-,-,7000.0,14400.0,both
47,,2023-07-13,,,,,,,,,,,,,,27.0,700.0,701.0,694.0,698.0,86500.0,698.0,0.0,0.0,0.0,-,-,8500.0,13900.0,right_only
48,,2023-07-12,,,,,,,,,,,,,,28.0,702.0,702.0,697.0,699.0,122000.0,699.0,0.0,0.0,0.0,-,-,8500.0,13500.0,right_only
49,,2023-07-11,,,,,,,,,,,,,,29.0,700.0,704.0,698.0,699.0,131200.0,699.0,0.0,0.0,0.0,-,-,8400.0,13200.0,right_only
50,,2023-07-10,,,,,,,,,,,,,,30.0,698.0,701.0,695.0,697.0,192900.0,697.0,0.0,0.0,0.0,-,-,8000.0,14000.0,right_only
26,26.0,2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,66300.0,901600.0,13.6,0,0,0.0,0.0,31.0,698.0,698.0,691.0,696.0,174100.0,696.0,66300.0,901600.0,13.6,-,-,8000.0,13400.0,both
51,,2023-07-06,,,,,,,,,,,,,,32.0,705.0,705.0,700.0,700.0,98300.0,700.0,0.0,0.0,0.0,-,-,7200.0,12100.0,right_only
52,,2023-07-05,,,,,,,,,,,,,,33.0,707.0,710.0,702.0,707.0,127200.0,707.0,0.0,0.0,0.0,-,-,7200.0,10600.0,right_only
53,,2023-07-04,,,,,,,,,,,,,,34.0,706.0,713.0,705.0,709.0,137900.0,709.0,0.0,0.0,0.0,-,-,7000.0,8600.0,right_only
54,,2023-07-03,,,,,,,,,,,,,,35.0,711.0,715.0,710.0,712.0,93100.0,712.0,0.0,0.0,0.0,-,-,7000.0,7300.0,right_only
27,27.0,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,54500.0,889000.0,16.31,0,0,0.0,0.0,36.0,712.0,715.0,705.0,711.0,143500.0,711.0,54500.0,889000.0,16.31,-,-,7000.0,7300.0,both
55,,2023-06-29,,,,,,,,,,,,,,37.0,720.0,723.0,711.0,712.0,70200.0,712.0,0.0,0.0,0.0,-,-,7000.0,7400.0,right_only
56,,2023-06-28,,,,,,,,,,,,,,38.0,713.0,720.0,713.0,720.0,98100.0,720.0,0.0,0.0,0.0,-,-,7000.0,9900.0,right_only
57,,2023-06-27,,,,,,,,,,,,,,39.0,716.0,716.0,708.0,711.0,94700.0,711.0,0.0,0.0,0.0,-,-,7000.0,7400.0,right_only
58,,2023-06-26,,,,,,,,,,,,,,40.0,713.0,716.0,707.0,716.0,87300.0,716.0,0.0,0.0,0.0,-,-,7000.0,5600.0,right_only
28,28.0,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,882800.0,17.66,0,0,0.0,0.0,41.0,720.0,724.0,710.0,711.0,150100.0,711.0,50000.0,882800.0,17.66,-,-,7000.0,5700.0,both
59,,2023-06-22,,,,,,,,,,,,,,42.0,709.0,719.0,709.0,719.0,189800.0,719.0,0.0,0.0,0.0,-,-,7000.0,9300.0,right_only
60,,2023-06-21,,,,,,,,,,,,,,43.0,703.0,713.0,703.0,706.0,102300.0,706.0,0.0,0.0,0.0,-,-,7000.0,8300.0,right_only
61,,2023-06-20,,,,,,,,,,,,,,44.0,702.0,704.0,698.0,704.0,108100.0,704.0,0.0,0.0,0.0,-,-,7100.0,7600.0,right_only
62,,2023-06-19,,,,,,,,,,,,,,45.0,706.0,707.0,701.0,705.0,78300.0,705.0,0.0,0.0,0.0,-,-,7000.0,7000.0,right_only
29,29.0,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,56800.0,879400.0,15.48,0,0,0.0,0.0,46.0,706.0,707.0,699.0,700.0,389200.0,700.0,56800.0,879400.0,15.48,-,-,7000.0,8700.0,both
63,,2023-06-15,,,,,,,,,,,,,,47.0,706.0,715.0,704.0,708.0,198200.0,708.0,0.0,0.0,0.0,-,-,7000.0,7600.0,right_only
64,,2023-06-14,,,,,,,,,,,,,,48.0,705.0,708.0,700.0,703.0,139000.0,703.0,0.0,0.0,0.0,-,-,7000.0,6800.0,right_only
65,,2023-06-13,,,,,,,,,,,,,,49.0,696.0,704.0,696.0,700.0,104800.0,700.0,0.0,0.0,0.0,-,-,7000.0,6800.0,right_only
66,,2023-06-12,,,,,,,,,,,,,,50.0,699.0,703.0,695.0,696.0,87200.0,696.0,0.0,0.0,0.0,-,-,7000.0,6100.0,right_only
30,30.0,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,57100.0,872800.0,15.29,0,0,0.0,0.0,51.0,687.0,698.0,687.0,696.0,162300.0,696.0,57100.0,872800.0,15.29,-,-,7000.0,6500.0,both
67,,2023-06-08,,,,,,,,,,,,,,52.0,693.0,695.0,685.0,690.0,127000.0,690.0,0.0,0.0,0.0,-,-,7000.0,7600.0,right_only
68,,2023-06-07,,,,,,,,,,,,,,53.0,697.0,700.0,689.0,690.0,168500.0,690.0,0.0,0.0,0.0,-,-,7200.0,7000.0,right_only
69,,2023-06-06,,,,,,,,,,,,,,54.0,689.0,697.0,687.0,694.0,143500.0,694.0,0.0,0.0,0.0,-,-,7000.0,6400.0,right_only
70,,2023-06-05,,,,,,,,,,,,,,55.0,697.0,697.0,686.0,689.0,149800.0,689.0,0.0,0.0,0.0,-,-,7000.0,6900.0,right_only
31,31.0,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,38700.0,866000.0,22.38,0,0,0.0,0.0,56.0,677.0,689.0,675.0,687.0,130000.0,687.0,38700.0,866000.0,22.38,0,-,7000.0,6500.0,both
71,,2023-06-01,,,,,,,,,,,,,,57.0,682.0,684.0,677.0,677.0,180300.0,677.0,0.0,0.0,0.0,-,-,7000.0,6700.0,right_only
72,,2023-05-31,,,,,,,,,,,,,,58.0,692.0,694.0,683.0,683.0,293900.0,683.0,0.0,0.0,0.0,-,-,7000.0,14400.0,right_only
73,,2023-05-30,,,,,,,,,,,,,,59.0,699.0,701.0,695.0,699.0,101900.0,699.0,0.0,0.0,0.0,-,-,7000.0,10600.0,right_only
74,,2023-05-29,,,,,,,,,,,,,,60.0,704.0,704.0,700.0,701.0,79000.0,701.0,0.0,0.0,0.0,0,-,7000.0,6300.0,right_only
32,32.0,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,40600.0,835600.0,20.58,0,0,0.0,0.0,61.0,703.0,706.0,696.0,696.0,151500.0,696.0,40600.0,835600.0,20.58,0,-,7000.0,6100.0,both
75,,2023-05-25,,,,,,,,,,,,,,62.0,705.0,707.0,702.0,706.0,91900.0,706.0,0.0,0.0,0.0,-,-,7000.0,10400.0,right_only
76,,2023-05-24,,,,,,,,,,,,,,63.0,714.0,718.0,708.0,708.0,125400.0,708.0,0.0,0.0,0.0,-,-,7000.0,12400.0,right_only
77,,2023-05-23,,,,,,,,,,,,,,64.0,732.0,732.0,717.0,717.0,167600.0,717.0,0.0,0.0,0.0,-,-,7000.0,16300.0,right_only
78,,2023-05-22,,,,,,,,,,,,,,65.0,727.0,732.0,721.0,732.0,80100.0,732.0,0.0,0.0,0.0,0,-,7000.0,5800.0,right_only
33,33.0,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,43600.0,808000.0,18.53,0,0,0.0,0.0,66.0,737.0,737.0,724.0,727.0,166700.0,727.0,43600.0,808000.0,18.53,0,-,7000.0,5900.0,both
79,,2023-05-18,,,,,,,,,,,,,,67.0,735.0,736.0,725.0,733.0,145100.0,733.0,0.0,0.0,0.0,0,-,7000.0,6100.0,right_only
80,,2023-05-17,,,,,,,,,,,,,,68.0,737.0,738.0,725.0,737.0,151900.0,737.0,0.0,0.0,0.0,0,-,7000.0,7000.0,right_only
81,,2023-05-16,,,,,,,,,,,,,,69.0,763.0,764.0,738.0,740.0,263100.0,740.0,0.0,0.0,0.0,0,-,7000.0,6700.0,right_only
82,,2023-05-15,,,,,,,,,,,,,,70.0,766.0,769.0,761.0,766.0,205500.0,766.0,0.0,0.0,0.0,0,-,7000.0,5800.0,right_only
34,34.0,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,31600.0,880000.0,27.85,0,0,0.0,0.0,71.0,754.0,757.0,750.0,756.0,110000.0,756.0,31600.0,880000.0,27.85,0,-,8000.0,6900.0,both
83,,2023-05-11,,,,,,,,,,,,,,72.0,748.0,755.0,746.0,755.0,59300.0,755.0,0.0,0.0,0.0,0,-,8800.0,7500.0,right_only
84,,2023-05-10,,,,,,,,,,,,,,73.0,761.0,761.0,748.0,751.0,146300.0,751.0,0.0,0.0,0.0,-,-,8600.0,8200.0,right_only
85,,2023-05-09,,,,,,,,,,,,,,74.0,759.0,762.0,755.0,761.0,126100.0,761.0,0.0,0.0,0.0,0,-,8800.0,6900.0,right_only
86,,2023-05-08,,,,,,,,,,,,,,75.0,745.0,756.0,744.0,755.0,134800.0,755.0,0.0,0.0,0.0,0,-,8600.0,5400.0,right_only
87,,2023-05-02,,,,,,,,,,,,,,76.0,749.0,749.0,738.0,743.0,70800.0,743.0,0.0,0.0,0.0,-,-,8600.0,5300.0,right_only
88,,2023-05-01,,,,,,,,,,,,,,77.0,749.0,753.0,741.0,746.0,131200.0,746.0,0.0,0.0,0.0,-,-,8600.0,4900.0,right_only
35,35.0,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,46400.0,874600.0,18.85,0,0,0.0,0.0,78.0,738.0,745.0,738.0,745.0,127000.0,745.0,46400.0,874600.0,18.85,0,-,9000.0,4300.0,both
89,,2023-04-27,,,,,,,,,,,,,,79.0,733.0,733.0,727.0,732.0,73800.0,732.0,0.0,0.0,0.0,-,-,9000.0,6400.0,right_only
90,,2023-04-26,,,,,,,,,,,,,,80.0,728.0,738.0,726.0,734.0,150100.0,734.0,0.0,0.0,0.0,-,-,9100.0,5800.0,right_only
91,,2023-04-25,,,,,,,,,,,,,,81.0,727.0,734.0,724.0,727.0,125600.0,727.0,0.0,0.0,0.0,0,-,9100.0,5700.0,right_only
92,,2023-04-24,,,,,,,,,,,,,,82.0,722.0,728.0,721.0,724.0,73800.0,724.0,0.0,0.0,0.0,-,-,9100.0,5500.0,right_only
36,36.0,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,41900.0,899400.0,21.47,0,0,0.0,0.0,83.0,710.0,724.0,710.0,721.0,163500.0,721.0,41900.0,899400.0,21.47,-,-,9000.0,4800.0,both
93,,2023-04-20,,,,,,,,,,,,,,84.0,706.0,712.0,705.0,712.0,70400.0,712.0,0.0,0.0,0.0,-,-,8500.0,5200.0,right_only
94,,2023-04-19,,,,,,,,,,,,,,85.0,710.0,710.0,704.0,709.0,94200.0,709.0,0.0,0.0,0.0,-,-,8500.0,5400.0,right_only
95,,2023-04-18,,,,,,,,,,,,,,86.0,712.0,713.0,706.0,713.0,101900.0,713.0,0.0,0.0,0.0,0,-,8500.0,5900.0,right_only
96,,2023-04-17,,,,,,,,,,,,,,87.0,712.0,712.0,706.0,708.0,44400.0,708.0,0.0,0.0,0.0,0,-,8500.0,6300.0,right_only
37,37.0,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,40700.0,902400.0,22.17,0,0,0.0,0.0,88.0,710.0,711.0,705.0,707.0,102400.0,707.0,40700.0,902400.0,22.17,0,-,8500.0,6300.0,both
97,,2023-04-13,,,,,,,,,,,,,,89.0,709.0,710.0,703.0,704.0,101000.0,704.0,0.0,0.0,0.0,0,-,8500.0,7100.0,right_only
98,,2023-04-12,,,,,,,,,,,,,,90.0,709.0,716.0,708.0,713.0,116200.0,713.0,0.0,0.0,0.0,0,-,8500.0,6400.0,right_only
99,,2023-04-11,,,,,,,,,,,,,,91.0,711.0,715.0,705.0,708.0,179400.0,708.0,0.0,0.0,0.0,0,-,8500.0,7100.0,right_only
100,,2023-04-10,,,,,,,,,,,,,,92.0,710.0,711.0,700.0,703.0,136900.0,703.0,0.0,0.0,0.0,-,-,8500.0,7500.0,right_only
38,38.0,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,916600.0,29.57,0,0,0.0,0.0,93.0,705.0,710.0,700.0,707.0,119500.0,707.0,31000.0,916600.0,29.57,-,-,8800.0,8600.0,both
101,,2023-04-06,,,,,,,,,,,,,,94.0,704.0,709.0,700.0,702.0,135500.0,702.0,0.0,0.0,0.0,0,-,8500.0,7200.0,right_only
102,,2023-04-05,,,,,,,,,,,,,,95.0,713.0,715.0,699.0,706.0,177800.0,706.0,0.0,0.0,0.0,0,-,8500.0,7200.0,right_only
103,,2023-04-04,,,,,,,,,,,,,,96.0,713.0,723.0,713.0,719.0,250100.0,719.0,0.0,0.0,0.0,-,-,8600.0,7400.0,right_only
104,,2023-04-03,,,,,,,,,,,,,,97.0,702.0,711.0,699.0,711.0,184400.0,711.0,0.0,0.0,0.0,-,-,8500.0,8600.0,right_only
39,39.0,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,37400.0,897900.0,24.01,0,0,0.0,0.0,98.0,685.0,704.0,685.0,702.0,285600.0,702.0,37400.0,897900.0,24.01,-,-,8500.0,9900.0,both
105,,2023-03-30,,,,,,,,,,,,,,99.0,684.0,685.0,678.0,680.0,212300.0,680.0,0.0,0.0,0.0,-,-,8900.0,40800.0,right_only
106,,2023-03-29,,,,,,,,,,,,,,100.0,683.0,696.0,683.0,695.0,524900.0,695.0,0.0,0.0,0.0,0.15,3,73600.0,4900.0,right_only
107,,2023-03-28,,,,,,,,,,,,,,101.0,686.0,688.0,677.0,682.0,347500.0,682.0,0.0,0.0,0.0,0,-,10700.0,9800.0,right_only
108,,2023-03-27,,,,,,,,,,,,,,102.0,689.0,690.0,683.0,684.0,260000.0,684.0,0.0,0.0,0.0,0,-,9600.0,8700.0,right_only
40,40.0,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,751800.0,822900.0,1.09,0,0,0.0,0.0,103.0,685.0,689.0,679.0,684.0,420700.0,684.0,751800.0,822900.0,1.09,-,-,9500.0,8900.0,both
109,,2023-03-23,,,,,,,,,,,,,,104.0,684.0,686.0,683.0,686.0,136400.0,686.0,0.0,0.0,0.0,0,-,9500.0,8800.0,right_only
110,,2023-03-22,,,,,,,,,,,,,,105.0,692.0,695.0,683.0,687.0,208200.0,687.0,0.0,0.0,0.0,-,-,8600.0,8600.0,right_only
111,,2023-03-20,,,,,,,,,,,,,,106.0,692.0,698.0,685.0,686.0,204000.0,686.0,0.0,0.0,0.0,0,0,0.0,0.0,right_only
41,41.0,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,411600.0,955300.0,2.32,0,0,0.0,0.0,107.0,689.0,696.0,688.0,694.0,236700.0,694.0,411600.0,955300.0,2.32,0,0,0.0,0.0,both
42,42.0,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,265000.0,955500.0,3.61,0,0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,265000.0,955500.0,3.61,0,0,0.0,0.0,both
43,43.0,2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,123600.0,929600.0,7.52,0,0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,123600.0,929600.0,7.52,0,0,0.0,0.0,both
112,,2023-02-24,,,,,,,,,,,,,,110.0,0.0,0.0,0.0,0.0,0.0,0.0,64700.0,897300.0,13.87,0,0,0.0,0.0,right_only
113,,2023-02-17,,,,,,,,,,,,,,111.0,0.0,0.0,0.0,0.0,0.0,0.0,53800.0,911000.0,16.93,0,0,0.0,0.0,right_only
114,,2023-02-10,,,,,,,,,,,,,,112.0,0.0,0.0,0.0,0.0,0.0,0.0,45500.0,899500.0,19.77,0,0,0.0,0.0,right_only
115,,2023-02-03,,,,,,,,,,,,,,113.0,0.0,0.0,0.0,0.0,0.0,0.0,41300.0,899300.0,21.77,0,0,0.0,0.0,right_only
116,,2023-01-27,,,,,,,,,,,,,,114.0,0.0,0.0,0.0,0.0,0.0,0.0,28200.0,921600.0,32.68,0,0,0.0,0.0,right_only
117,,2023-01-20,,,,,,,,,,,,,,115.0,0.0,0.0,0.0,0.0,0.0,0.0,29600.0,934600.0,31.57,0,0,0.0,0.0,right_only
118,,2023-01-13,,,,,,,,,,,,,,116.0,0.0,0.0,0.0,0.0,0.0,0.0,27200.0,961300.0,35.34,0,0,0.0,0.0,right_only
