,Unnamed: 0_x,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,Unnamed: 0_y,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,_merge
0,0.0,2023-08-10,208.0,214.0,205.0,212.0,60200.0,212.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,left_only
1,1.0,2023-08-09,201.0,210.0,201.0,208.0,58400.0,208.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,left_only
2,2.0,2023-08-08,204.0,205.0,201.0,201.0,39600.0,201.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,left_only
3,3.0,2023-08-07,210.0,210.0,202.0,204.0,68600.0,204.0,0.0,0.0,0.0,0,0,0,0,0.0,210.0,210.0,202.0,204.0,68600.0,204.0,0.0,0.0,0.0,0.0,0.0,0,0,both
4,4.0,2023-08-04,206.0,209.0,202.0,209.0,124300.0,209.0,400.0,137000.0,342.5,0,0,0,0,1.0,206.0,209.0,202.0,209.0,124300.0,209.0,400.0,13700.0,342.5,0.0,0.0,0,0,both
5,5.0,2023-08-03,211.0,211.0,206.0,207.0,85100.0,207.0,0.0,0.0,0.0,0,0,0,0,2.0,211.0,211.0,206.0,207.0,85100.0,207.0,0.0,0.0,0.0,0.0,0.0,0,0,both
6,6.0,2023-08-02,216.0,217.0,212.0,212.0,82600.0,212.0,0.0,0.0,0.0,0,0,0,0,3.0,216.0,217.0,212.0,212.0,82600.0,212.0,0.0,0.0,0.0,0.0,0.0,0,0,both
7,7.0,2023-08-01,217.0,221.0,214.0,218.0,66100.0,218.0,0.0,0.0,0.0,0,0,0,0,4.0,217.0,221.0,214.0,218.0,66100.0,218.0,0.0,0.0,0.0,0.0,0.0,0,0,both
8,8.0,2023-07-31,222.0,230.0,215.0,216.0,190600.0,216.0,0.0,0.0,0.0,0,0,0,0,5.0,222.0,230.0,215.0,216.0,190600.0,216.0,0.0,0.0,0.0,0.0,0.0,0,0,both
9,9.0,2023-07-28,224.0,225.0,214.0,215.0,150300.0,215.0,400.0,89700.0,224.25,0,0,0,0,6.0,224.0,225.0,214.0,215.0,150300.0,215.0,0.0,0.0,0.0,0.0,0.0,0,0,both
10,10.0,2023-07-27,221.0,226.0,221.0,224.0,78100.0,224.0,0.0,0.0,0.0,0,0,0,0,7.0,221.0,226.0,221.0,224.0,78100.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0,both
11,11.0,2023-07-26,233.0,234.0,222.0,222.0,129400.0,222.0,0.0,0.0,0.0,0,0,0,0,8.0,233.0,234.0,222.0,222.0,129400.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0,both
12,12.0,2023-07-25,234.0,235.0,231.0,233.0,84700.0,233.0,0.0,0.0,0.0,0,0,0,0,9.0,234.0,235.0,231.0,233.0,84700.0,233.0,0.0,0.0,0.0,0.0,0.0,0,0,both
