,Unnamed: 0_x,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,Unnamed: 0_y,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,_merge
0,0.0,2023-08-25,5420.0,5471.0,5391.0,5404.0,1602100.0,5404.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,left_only
1,1.0,2023-08-24,5525.0,5554.0,5471.0,5552.0,1066400.0,5552.0,0.0,0.0,0.0,-,-,19300.0,17800.0,,,,,,,,,,,,,,,left_only
2,2.0,2023-08-23,5430.0,5507.0,5390.0,5500.0,1046000.0,5500.0,0.0,0.0,0.0,-,-,17300.0,17700.0,0.0,5430.0,5507.0,5390.0,5500.0,1046000.0,5500.0,0.0,0.0,0.0,0,0,0.0,0.0,both
3,3.0,2023-08-22,5406.0,5444.0,5325.0,5436.0,2134200.0,5436.0,0.0,0.0,0.0,-,-,16300.0,17200.0,1.0,5406.0,5444.0,5325.0,5436.0,2134200.0,5436.0,0.0,0.0,0.0,-,-,16300.0,17200.0,both
4,4.0,2023-08-21,5475.0,5485.0,5333.0,5352.0,2116800.0,5352.0,0.0,0.0,0.0,-,-,17700.0,30100.0,2.0,5475.0,5485.0,5333.0,5352.0,2116800.0,5352.0,0.0,0.0,0.0,-,-,17700.0,30100.0,both
5,5.0,2023-08-18,5476.0,5574.0,5452.0,5494.0,2000600.0,5494.0,321500.0,721100.0,2.24,-,-,14100.0,27500.0,3.0,5476.0,5574.0,5452.0,5494.0,2000600.0,5494.0,321500.0,721100.0,2.24,-,-,14100.0,27500.0,both
6,6.0,2023-08-17,5575.0,5605.0,5520.0,5605.0,1514600.0,5605.0,0.0,0.0,0.0,-,-,14100.0,27400.0,4.0,5575.0,5605.0,5520.0,5605.0,1514600.0,5605.0,0.0,0.0,0.0,-,-,14100.0,27400.0,both
7,7.0,2023-08-16,5662.0,5693.0,5594.0,5609.0,1507700.0,5609.0,0.0,0.0,0.0,-,-,15500.0,27100.0,5.0,5662.0,5693.0,5594.0,5609.0,1507700.0,5609.0,0.0,0.0,0.0,-,-,15500.0,27100.0,both
8,8.0,2023-08-15,5784.0,5858.0,5752.0,5768.0,956400.0,5768.0,0.0,0.0,0.0,-,-,13600.0,45500.0,6.0,5784.0,5858.0,5752.0,5768.0,956400.0,5768.0,0.0,0.0,0.0,-,-,13600.0,45500.0,both
9,9.0,2023-08-14,5911.0,5911.0,5720.0,5724.0,1318400.0,5724.0,0.0,0.0,0.0,-,-,13600.0,46900.0,7.0,5911.0,5911.0,5720.0,5724.0,1318400.0,5724.0,0.0,0.0,0.0,-,-,13600.0,46900.0,both
10,10.0,2023-08-10,5742.0,5925.0,5701.0,5911.0,1610200.0,5911.0,386000.0,633800.0,1.64,-,-,24200.0,40800.0,8.0,5742.0,5925.0,5701.0,5911.0,1610200.0,5911.0,386000.0,633800.0,1.64,-,-,24200.0,40800.0,both
11,11.0,2023-08-09,5815.0,5880.0,5781.0,5781.0,1406600.0,5781.0,0.0,0.0,0.0,-,-,17300.0,41900.0,9.0,5815.0,5880.0,5781.0,5781.0,1406600.0,5781.0,0.0,0.0,0.0,-,-,17300.0,41900.0,both
12,12.0,2023-08-08,5950.0,5959.0,5847.0,5899.0,995500.0,5899.0,0.0,0.0,0.0,-,-,18200.0,47700.0,10.0,5950.0,5959.0,5847.0,5899.0,995500.0,5899.0,0.0,0.0,0.0,-,-,18200.0,47700.0,both
13,13.0,2023-08-07,5850.0,5897.0,5802.0,5883.0,870300.0,5883.0,0.0,0.0,0.0,-,-,26300.0,46900.0,11.0,5850.0,5897.0,5802.0,5883.0,870300.0,5883.0,0.0,0.0,0.0,-,-,26300.0,46900.0,both
14,14.0,2023-08-04,5817.0,5942.0,5811.0,5919.0,1507500.0,5919.0,410500.0,634100.0,1.54,-,-,27500.0,47200.0,12.0,5817.0,5942.0,5811.0,5919.0,1507500.0,5919.0,410500.0,634100.0,1.54,-,-,27500.0,47200.0,both
