,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-08-10,5742,5925,5701,5911,1610200,5911,0,0,0,0,0,0,0
1,2023-08-09,5815,5880,5781,5781,1406600,5781,0,0,0,-,-,17300,41900
2,2023-08-08,5950,5959,5847,5899,995500,5899,0,0,0,-,-,18200,47700
3,2023-08-07,5850,5897,5802,5883,870300,5883,0,0,0,-,-,26300,46900
4,2023-08-04,5817,5942,5811,5919,1507500,5919,410500,634100,1.54,-,-,27500,47200
5,2023-08-03,5811,5890,5788,5810,2141000,5810,0,0,0,-,-,13200,59200
6,2023-08-02,6073,6103,5928,5942,2428100,5942,0,0,0,-,-,38300,167600
7,2023-08-01,6165,6189,6108,6130,1620600,6130,0,0,0,0.1,1,84200,43000
8,2023-07-31,6219,6294,6057,6171,3039300,6171,0,0,0,-,-,81400,111100
9,2023-07-28,6202,6348,6160,6319,1699300,6319,493000,419000,0.85,0.1,1,104500,68700
10,2023-07-27,6260,6362,6230,6338,994500,6338,0,0,0,0.1,1,119600,61100
11,2023-07-26,6341,6355,6260,6297,913900,6297,0,0,0,0.45,3,128400,57800
12,2023-07-25,6197,6375,6172,6355,1873200,6355,0,0,0,0.15,1,156000,51900
13,2023-07-24,6180,6196,6077,6139,1084200,6139,0,0,0,0.1,1,113600,82800
14,2023-07-21,6147,6147,6055,6094,1406900,6094,512100,494400,0.97,0,1,119600,100500
15,2023-07-20,6330,6352,6184,6190,1201800,6190,0,0,0,0.1,1,135600,95900
16,2023-07-19,6257,6375,6252,6375,1696100,6375,0,0,0,0.45,3,173000,60300
17,2023-07-18,6079,6240,6070,6233,1218000,6233,0,0,0,0.1,1,133200,75700
18,2023-07-14,6140,6185,6021,6078,1446500,6078,527000,507800,0.96,0.1,1,120800,87100
19,2023-07-13,5975,6104,5908,6078,1413400,6078,0,0,0,0.1,1,120100,50100
20,2023-07-12,6057,6084,5848,5967,2040300,5967,0,0,0,0,4,119400,121900
21,2023-07-11,6072,6272,6062,6081,2694700,6081,0,0,0,0.1,1,141900,34500
22,2023-07-10,6177,6250,5988,6003,3560400,6003,0,0,0,-,-,105400,127300
23,2023-07-07,6290,6322,6217,6217,2099300,6217,643800,448400,0.7,0.15,1,197700,49400
