,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023/6/23,489.0,494.3,474.3,477.1,21700500,477.1
1,2023/6/22,486.2,490.9,483.9,484.7,13513500,484.7
2,2023/6/21,482.7,490.5,480.1,488.7,14294800,488.7
3,2023/6/20,487.9,490.1,482.6,489.1,13406800,489.1
4,2023/6/19,494.1,497.5,486.4,487.9,14993300,487.9
5,2023/6/16,491.4,491.5,481.3,486.1,21454800,486.1
6,2023/6/15,495.0,495.4,484.5,489.8,22522900,489.8
7,2023/6/14,491.8,500.7,491.1,499.4,27463300,499.4
8,2023/6/13,480.0,488.5,479.6,485.0,19439100,485.0
9,2023/6/12,483.5,484.5,477.9,479.9,11398400,479.9
10,2023/6/9,473.0,481.9,472.0,481.8,17181000,481.8
11,2023/6/8,485.0,485.8,471.0,473.2,18930600,473.2
12,2023/6/7,484.8,485.0,474.0,477.5,21944500,477.5
13,2023/6/6,475.0,479.0,470.0,476.8,19377500,476.8
14,2023/6/5,471.0,481.9,466.6,481.9,31097500,481.9
15,2023/6/2,447.0,460.0,447.0,459.0,11579300,459.0
16,2023/6/1,454.0,456.0,443.0,446.0,17846900,446.0
17,2023/5/31,464.0,469.0,457.0,459.0,16283400,459.0
18,2023/5/30,463.0,471.0,457.0,470.0,15351300,470.0
19,2023/5/29,473.0,473.0,461.0,461.0,11730000,461.0
20,2023/5/26,471.0,471.0,463.0,463.0,11442200,463.0
21,2023/5/25,474.0,475.0,468.0,468.0,11842300,468.0
22,2023/5/24,475.0,478.0,470.0,473.0,13156600,473.0
23,2023/5/23,471.0,475.0,469.0,473.0,17708000,473.0
24,2023/5/22,460.0,467.0,459.0,466.0,11137700,466.0
25,2023/5/19,465.0,467.0,459.0,462.0,11085000,462.0
26,2023/5/18,461.0,467.0,458.0,459.0,14844400,459.0
27,2023/5/17,457.0,460.0,453.0,454.0,13719200,454.0
28,2023/5/16,467.0,468.0,453.0,455.0,23353300,455.0
29,2023/5/15,470.0,475.0,467.0,469.0,15859100,469.0
30,2023/5/12,460.0,473.0,456.0,465.0,22530600,465.0
31,2023/5/11,476.0,477.0,462.0,462.0,22105000,462.0
32,2023/5/10,500.0,501.0,476.0,477.0,51823500,477.0
33,2023/5/9,516.0,529.0,513.0,529.0,20660800,529.0
34,2023/5/8,515.0,518.0,511.0,511.0,12740400,511.0
35,2023/5/2,518.0,521.0,514.0,518.0,9912400,518.0
36,2023/5/1,524.0,525.0,517.0,518.0,10356300,518.0
37,2023/4/28,507.0,515.0,503.0,515.0,15600800,515.0
38,2023/4/27,490.0,502.0,489.0,501.0,9733100,501.0
39,2023/4/26,498.0,501.0,489.0,493.0,14970200,493.0
40,2023/4/25,512.0,517.0,504.0,506.0,12466800,506.0
41,2023/4/24,507.0,508.0,500.0,505.0,9449800,505.0
42,2023/4/21,507.0,509.0,501.0,503.0,10387800,503.0
43,2023/4/20,510.0,516.0,506.0,513.0,7551600,513.0
44,2023/4/19,514.0,516.0,509.0,514.0,10261200,514.0
45,2023/4/18,518.0,522.0,514.0,518.0,8826500,518.0
46,2023/4/17,510.0,516.0,506.0,514.0,9532200,514.0
47,2023/4/14,506.0,508.0,502.0,504.0,9581600,504.0
48,2023/4/13,509.0,509.0,501.0,504.0,9251800,504.0
49,2023/4/12,516.0,518.0,510.0,514.0,7745300,514.0
50,2023/4/11,515.0,516.0,508.0,512.0,8413400,512.0
51,2023/4/10,507.0,508.0,501.0,505.0,6264800,505.0
52,2023/4/7,500.0,506.0,499.0,500.0,7960300,500.0
53,2023/4/6,515.0,516.0,497.0,500.0,14175700,500.0
54,2023/4/5,522.0,527.0,518.0,520.0,11611400,520.0
55,2023/4/4,529.0,537.0,525.0,536.0,9620900,536.0
56,2023/4/3,529.0,539.0,526.0,539.0,10728200,539.0
57,2023/3/31,522.0,529.0,521.0,522.0,11302800,522.0
58,2023/3/30,504.0,517.0,503.0,515.0,11368600,515.0
59,2023/3/29,499.0,505.0,494.0,505.0,8758600,505.0
60,2023/3/28,504.0,510.0,493.0,496.0,11865600,496.0
61,2023/3/27,495.0,498.0,490.0,491.0,8541200,491.0
62,2023/3/24,487.0,494.0,487.0,493.0,7133700,493.0
63,2023/3/23,479.0,496.0,477.0,495.0,11559700,495.0
64,2023/3/22,488.0,490.0,479.0,486.0,10083900,486.0
65,2023/3/20,467.0,479.0,466.0,475.0,11004300,475.0
66,2023/3/17,487.0,490.0,473.0,480.0,15897200,480.0
